,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-03-06.22.52 Jxffa Ranked Standard Win,3,3,0,1,0,3,331,False,0,445,462.21768,49.76,2565,398,1889,232,676,166,23,3,61,15,440,72,487,37.63,11.301658,43.02,12.920471,122.9,66.18,59.56,82.45,37.119816,19.988523,17.989067,24.902596,1548,500074,61.43,128.31,151.9,192.52,132.08,17.05,7.66,64,0.12,67.304344,44.462006,37.55708,17.980917,56.350067,38.659447,4.990487,2872,2742,3091,3550,155.85,114.55,71.25,217.22,124.42,280.81,60.83,126.4,88.7,1,124,104.5,45.61686,20.854675,33.52846,63.581547,36.41845,82.1947,17.805292,37.96252,26.639837,37.24171,31.385153,0,2,edencroww
2023-03-06.22.47 Choco Ranked Standard Loss,2,3,2,1,1,0,421,True,100,446,436.80356,45.82,2365,381,1696,200,669,181,19,2,51,16,213,0,146,43.54,13.402698,38.04,11.709661,120.61,72.14,56.27,78.48,36.82748,22.027481,17.181679,23.96336,1440,455399,38.36,121.45,174.39,183.71,129.95,20.55,10.04,82,0.12,62.608696,52.181328,36.340515,11.478156,54.968433,38.88274,6.1488285,2792,2559,3075,3771,153.29,103.67,77.24,209.76,124.44,272.46,61.74,147.4,73.9,,113.7,94.7,45.86774,23.111908,31.020346,62.76481,37.235188,81.52604,18.473969,45.37339,22.748262,34.999695,29.15102,1,0,edencroww
2023-03-06.22.46 Cr0wn Ranked Standard Loss,2,3,2,1,1,0,421,True,100,443,434.6916,45.68,2354,369,1696,200,658,169,19,2,50,15,213,0,146,43.69,13.446386,38.15,11.741352,120.62,72.07,56.1,78.73,36.82828,22.004763,17.128723,24.038227,1436,455381,38.22,121.72,174.33,183.82,130,20.45,9.65,81,0.12,62.434784,52.152454,36.413677,11.433871,54.99147,38.890717,6.117809,2769,2531,3066,3758,153.33,103.65,77.29,209.68,124.59,272.6,61.67,146.7,73.6,,113.3,95.3,45.870106,23.122028,31.00787,62.727737,37.272266,81.550835,18.449158,45.149574,22.65173,34.87012,29.330296,1,0,edencroww
2023-03-06.23.31 LzrShak Ranked Standard Win,3,14,1,3,4,0,605,False,33.333332,408,430.613,48.04,2983,469,2273,338,710,131,26,4,61,11,331,61,331,55.25,13.292753,44.03,10.593302,135.53,100.53,75.15,92.66,33.557827,24.891674,18.607473,22.943026,1501,597657,65.85,152.17,202.76,244.56,156.62,19.6,7.92,71,0.11,65.26087,48.186703,36.16379,15.649508,58.120632,37.22135,4.658016,2803,2502,3097,3605,247.63,110.2,62.96,309.87,110.91,317.69,103.09,174.6,101.5,1,143.5,132.5,58.848835,14.962334,26.188837,73.64181,26.358192,75.50026,24.499739,42.007504,24.42017,34.52507,31.878548,2,4,edencroww
2023-03-06.23.35 ) Ranked Standard Win,3,14,1,3,4,0,605,False,33.333332,408,431.00708,48.04,2983,469,2273,338,710,131,26,4,61,11,331,61,331,55.28,13.312141,43.93,10.578915,135.48,100.3,75.13,92.63,33.57288,24.855032,18.617731,22.954353,1499,597651,65.76,152.25,202.46,244.26,156.83,19.37,7.8,70,0.11,65.17391,48.150875,36.209476,15.63964,58.093517,37.299625,4.6068597,2804,2500,3092,3603,247.63,109.92,62.91,309.49,110.98,317.79,102.67,172,100,1,140.6,129.8,58.895016,14.962184,26.142796,73.60573,26.394274,75.581505,24.418493,41.419834,24.081299,33.858307,31.257524,2,4,edencroww
2023-03-05.22.03 skatesgame -_- Ranked Standard Win,4,4,3,2,0,1,597,True,75,430,457.14996,55.1,2452,444,1941,302,511,142,25,4,46,12,593,97,263,40.95,12.724504,47.28,14.6914425,92.5,58.25,62.12,123.72,27.481506,17.305922,18.455688,36.756886,1586,501685,69.83,133.54,138.78,169.16,152.37,20.62,7.18,61,0.12,68.95652,40.561153,39.02966,20.409176,49.440304,44.5331,6.0265965,2981,2347,3495,4038,160.05,102.84,79.26,214.01,128.14,239.86,102.3,97.9,137.9,1,129.3,95.2,46.77773,23.16528,30.056993,62.54859,37.451412,70.10171,29.898293,30.42073,42.850037,40.17774,29.581753,1,0,edencroww
2023-03-05.21.40 t.tvehzgodd Ranked Standard Loss,1,4,0,0,2,0,255,False,0,405,412.93295,50.79,2748,575,1912,383,836,192,21,4,72,17,195,16,387,35.45,8.878259,30.13,7.5458937,107.34,90.78,76.94,117.87,27.317842,23.103352,19.581097,29.99771,1493,583461,53.75,157.14,188.26,216.2,164.48,18.48,10.21,74,0.14,64.91304,47.165226,39.36866,13.466116,54.163742,41.20653,4.6297226,2850,2834,2809,3762,186.03,128.73,84.4,259.21,139.95,302.33,96.83,151.8,100.6,,143.1,114.4,46.605373,21.144405,32.25023,64.93887,35.06113,75.741554,24.258444,38.01748,25.19472,35.838615,28.650854,1,2,edencroww
2023-03-05.21.33 t.tvehzgodd Ranked Standard Win,4,7,1,3,0,0,298,False,25,346,348.5716,43.42,1938,428,1085,157,853,271,13,2,66,16,232,42,243,59.91,17.959171,23.66,7.092539,133.24,71.82,59.35,73.54,39.425953,21.251663,17.56177,21.760614,1516,486883,54.05,123.77,171.07,203.97,125.62,19.29,7.83,57,0.14,65.91304,49.03265,35.475365,15.491989,58.464226,36.00665,5.529122,2960,2631,3259,3700,183.75,93.29,71.84,232.8,116.08,240.61,108.28,94.4,117.5,1,108.9,101.5,52.668537,20.591606,26.739853,66.72781,33.272186,68.964424,31.035568,28.29821,35.222878,32.644863,30.426573,0,0,edencroww
2023-03-05.21.19 Amyzo Ranked Standard Win,1,5,0,1,0,1,150,False,0,399,436.85352,55.82,2351,296,1625,100,726,196,19,1,67,17,343,7,493,33.73,10.445959,51.33,15.896563,80.75,79.92,58.15,109.03,24.630165,24.377,17.736769,33.25606,1595,505451,64.32,127.2,139.93,189.8,125.69,15.96,8.96,66,0.14,69.347824,42.217525,38.376827,19.405642,57.263542,37.921257,4.815206,3388,3383,3409,3818,151.48,114.41,65.57,213.27,118.19,255.07,76.38,124.6,79,1,102.3,125.3,45.70084,19.782177,34.516987,64.3426,35.65739,76.955795,23.044197,38.5878,24.46578,31.681635,38.804585,0,1,edencroww
2023-03-05.16.16 ShiftyGOSU Ranked Standard Win,1,12,0,6,1,0,211,False,0,487,488.907,48.3,2795,354,2277,258,518,96,28,3,45,8,524,41,643,59.51,17.349348,37.98,11.072563,141.54,78.91,54.21,82.46,39.633736,22.096216,15.179771,23.090279,1570,530207,58.67,148.66,156.14,199.74,139.26,24.48,7.52,60,0.13,68.26087,42.958157,40.900215,16.141636,54.95213,38.31297,6.7348957,2710,2420,2936,3667,208.41,105.84,49.23,269.4,94.08,231.15,132.32,98.9,132.7,2,138.1,95.3,57.337402,13.544073,29.11852,74.116875,25.883131,63.595345,36.40466,28.832977,38.686916,40.26122,27.783445,0,0,edencroww
2023-03-05.15.16 peepybutthole Ranked Standard Loss,1,12,0,6,1,0,211,False,0,595,537.96094,29.89,124,12,100,0,24,12,1,0,2,1,0,0,0,5.07,36.65944,1.46,10.556761,6.97,2.71,0.9,3.31,50.17999,19.51044,6.4794817,23.830095,1548,21209,0.22,8.4,5.21,7.07,6.76,0,0.21,2,0.11,67.304344,37.67173,60.737522,1.5907447,51.12075,48.87925,0,1255,1102,1399,4351,0,8.26,5.57,4.5,9.33,7.98,5.85,,13,,11.6,0.7,0,40.274765,59.725235,32.53796,67.462036,57.70065,42.29935,,93.99856,83.87563,5.0614605,0,0,edencroww
2023-03-05.15.15 peepybutthole Ranked Standard Loss,0,12,0,6,1,0,177,False,0,469,485.90292,49.33,2588,260,2095,176,493,84,26,2,43,7,506,23,568,54.45,17.03852,35.27,11.036705,132.57,70.66,51.93,78.39,39.74517,21.184233,15.568881,23.501724,1565,491346,54.79,136.38,149.07,188.39,129.1,22.74,7.19,57,0.13,68.04348,43.81319,40.08347,16.103338,55.37137,37.944923,6.6837144,2797,2555,3010,3606,208.34,93.58,38.31,264.88,75.35,216.46,123.77,95.6,114.3,2,121.7,91.8,61.23505,11.260032,27.504925,77.85322,22.146782,63.621666,36.37833,29.915197,35.76681,38.082424,28.7261,0,0,edencroww
2023-03-05.16.02 ) Ranked Standard Win,2,2,0,3,0,0,116,False,0,401,402.5183,50.42,1300,129,1021,100,279,29,12,1,25,3,189,0,245,25.12,12.963154,25.95,13.391475,61.24,50.11,34.93,51.32,30.991901,25.35931,17.677124,25.971659,1540,291873,32.64,75.89,93.14,117.94,72.69,11.04,5.04,38,0.13,66.95652,46.18436,37.630783,16.184856,58.481678,36.044033,5.47429,3114,2822,3376,3602,127.68,53.42,20.57,158.72,42.96,147.51,54.16,69.5,57.3,,70.5,62.1,63.31135,10.199832,26.48882,78.69893,21.301071,73.14424,26.855755,35.865414,29.569614,36.381462,32.04665,0,0,edencroww
2023-03-05.14.47 LTXSam Ranked Standard Win,2,7,1,1,1,2,426,False,50,372,369.16812,45.35,1994,449,1460,336,534,113,17,4,48,11,171,63,249,40.36,12.453715,45.25,13.962603,130.01,75.25,36.7,80.18,40.358227,23.35941,11.392563,24.889801,1490,471892,48.24,121.35,166.13,190.15,137.66,7.9,8.67,68,0.13,64.78261,49.484688,36.146194,14.369117,56.64115,41.00563,2.3532217,2672,2765,2569,3346,180.18,101.53,54.01,239.44,96.28,267.88,67.83,133.3,73.8,1,105.9,97.3,53.66973,16.087812,30.242466,71.32134,28.678661,79.79506,20.204937,41.13182,22.772158,32.677116,30.023453,0,1,edencroww
2023-03-05.01.11 JuanLuckyDuck Ranked Standard Win,2,8,1,2,1,1,346,False,50,367,379.66043,38.03,2169,74,1292,0,877,74,15,0,64,7,222,0,342,61.77,18.020304,22.79,6.648579,175.94,55.39,48.52,68.06,50.57055,15.920784,13.9461355,19.56253,1455,485156,43.45,129.69,187.24,200.99,140.53,18.86,8.37,67,0.12,63.260868,51.95627,35.987015,12.056718,55.771687,38.99495,5.2333646,2954,2816,3075,3566,250.65,81.52,28.21,295.57,64.81,284.67,75.71,146,83.4,1,124.6,115.4,69.55159,7.827849,22.620567,82.016205,17.983795,78.99162,21.008379,42.59292,24.330475,36.349846,33.66591,1,0,edencroww
2023-03-05.00.42 Jag NU. Ranked Standard Loss,3,8,1,3,1,1,459,False,33.333332,456,479.70837,48.72,2961,433,2136,284,825,149,24,3,67,13,268,15,508,42.9,11.583637,39.28,10.606183,146.8,75.44,63.67,97.72,38.266037,19.664782,16.59672,25.47246,1638,594237,85.24,155.88,155.6,244.05,136.67,16.01,8.89,71,0.13,71.21739,39.22162,39.292194,21.486187,61.51539,34.44912,4.03549,3168,2974,3382,3732,208.31,114.55,73.88,279.38,117.35,298.34,98.39,145.4,126.5,1,112.3,143.8,52.50542,18.621767,28.872814,70.420685,29.57931,75.19976,24.800243,39.260155,34.15688,30.322668,38.828136,5,0,edencroww
2023-03-05.01.42 Hope. Ranked Standard Win,3,8,1,3,1,1,459,False,33.333332,456,479.7602,48.72,2961,433,2136,284,825,149,24,3,67,13,268,15,497,43.04,11.622695,39.14,10.569523,146.89,75.3,63.81,97.75,38.277523,19.62215,16.628014,25.472313,1634,594230,85.22,155.53,155.96,243.75,136.87,16.1,9.02,70,0.13,71.04348,39.313354,39.20496,21.481688,61.44132,34.500404,4.058278,3168,2980,3376,3730,208.36,114.59,73.77,279.76,116.96,298.41,98.31,145.4,126.7,1,111.6,144.3,52.520668,18.594978,28.884352,70.51825,29.48175,75.2193,24.780703,39.264397,34.214577,30.136913,38.967354,5,0,edencroww
2023-03-04.20.06 Hydur Ranked Standard Loss,0,14,0,6,1,0,100,False,0,416,439.65182,48.12,2837,390,2121,223,716,167,24,3,60,14,282,76,514,43.38,11.20438,53.72,13.875042,148.24,103.99,56.96,94.3,36.739452,25.772635,14.116831,23.371088,1593,595646,90.08,144.83,191.72,263.51,157.61,5.5,9.94,82,0.12,69.26087,44.938236,33.94745,21.114315,61.766914,36.943886,1.2892035,3335,3416,3242,3451,247.61,113.15,65.86,313.19,113.44,326.09,100.53,161.6,108.8,1,82.8,165.4,58.039944,15.437626,26.522432,73.41022,26.589785,76.43571,23.564297,41.738773,28.10135,21.385954,42.72025,2,0,edencroww
2023-03-04.20.56 Fire x logx Ranked Standard Loss,3,5,0,1,2,0,240,False,0,402,431.20813,56.19,2348,405,1753,245,595,160,24,4,52,15,658,158,360,24.71,7.5632825,45.59,13.954271,85.16,59.89,67.09,120.59,25.594328,17.99958,20.163496,36.2426,1497,476573,56.08,123.14,156.28,176.25,134.44,24.81,6.35,50,0.13,65.08696,46.581223,36.703426,16.715351,52.53353,40.071533,7.3949327,2943,2928,2841,3557,176.93,101.32,57.26,225.98,109.52,251.13,84.37,118.2,91.2,,110.2,110.9,52.734646,17.066557,30.198803,67.356186,32.643814,74.85246,25.147541,36.178875,27.914665,33.73022,33.944477,1,1,edencroww
2023-03-04.20.50 Fire x logx Ranked Standard Win,6,2,3,2,0,0,531,True,50,419,439.25153,52.98,2500,611,1760,394,740,217,23,4,55,19,561,7,265,40.51,11.862719,62.51,18.305075,116.89,45.27,70.41,121.29,33.032837,12.793195,19.8977,34.276264,1468,494520,43.74,135.23,182.77,214.07,122.98,24.69,9.22,63,0.15,63.826088,50.52524,37.383205,12.0915575,59.17786,33.99679,6.8253436,2631,2419,2829,3593,163.3,110.37,88.07,223,138.74,289.87,71.86,136.2,87.2,1,108.3,106.3,45.14292,24.346216,30.510864,61.64649,38.353516,80.13436,19.865646,39.884037,25.535156,31.71396,31.128292,2,0,edencroww
2023-03-04.19.42 Sonar Kedsypoo Ranked Standard Loss,4,3,0,2,0,0,182,False,0,454,445.12912,49.52,2408,632,1890,475,518,157,22,5,46,14,325,24,457,60.13,18.52548,38.49,11.858403,130.65,41.99,64.67,80.64,41.091362,13.206478,20.339676,25.362478,1552,487617,58.71,124.56,146.56,180.33,133.06,16.44,5.86,47,0.12,67.478264,44.435013,37.76491,17.80008,54.67362,40.34199,4.9843855,2725,2414,2999,3661,148.83,103.43,77.57,199.61,130.22,239.32,90.51,139,99.8,1,117.7,116.6,45.123245,23.518177,31.35858,60.51905,39.48094,72.558586,27.441408,42.824574,30.747429,36.26225,35.923347,1,2,edencroww
2023-03-04.22.35 mando[] Ranked Standard Loss,1,3,0,0,1,0,204,False,0,428,409.65237,51.47,2139,381,1515,196,624,185,18,2,56,17,306,14,210,35.61,11.366466,42.68,13.62316,94.29,78.48,54.1,83.45,30.384764,25.290024,17.433617,26.891596,1521,462930,53,121.29,141.76,177.57,119.72,18.75,7.67,56,0.14,66.13043,44.85366,38.37684,16.769499,56.185925,37.88128,5.932793,3016,2994,3138,3848,163.13,90.01,62.91,211.89,104.16,258.89,57.16,156.6,80,,102.8,120.8,51.61525,19.905077,28.47967,67.04319,32.95681,81.91425,18.085745,49.985638,25.535446,32.81305,38.55852,0,2,edencroww
2023-03-04.19.35 Sonar Kedsypoo Ranked Standard Win,1,3,0,0,1,0,204,False,0,431,411.81912,51.22,2151,381,1515,196,636,185,18,2,57,17,306,14,210,35.53,11.337311,42.91,13.6922035,94.37,78.4,54.18,83.27,30.420347,25.272387,17.465025,26.842241,1522,463161,52.7,122.19,141.26,177.64,119.62,18.9,7.68,55,0.14,66.17391,44.681316,38.649372,16.669302,56.18674,37.835274,5.977986,3017,3019,3120,3853,163.2,89.87,63.08,211.74,104.41,259.1,57.05,157.5,80.8,,103.5,121.8,51.621067,19.952555,28.42638,66.97453,33.02546,81.95477,18.045233,50.256866,25.782572,33.02594,38.86531,0,2,edencroww
2023-03-04.22.30 mando[] Ranked Standard Win,3,7,0,1,0,0,198,False,0,383,396.3515,52.09,2332,245,1612,93,720,152,21,2,65,13,534,112,367,52.57,14.891508,54.17,15.34474,125.09,59.21,67.08,101.7,35.428234,16.769571,18.998528,28.80367,1519,529271,61.85,127.43,166.65,209.76,122.72,23.44,10.62,67,0.16,66.04348,46.821007,35.801983,17.377012,58.934593,34.47966,6.58575,2977,3071,2916,3698,198.42,101.43,56.07,261.51,94.42,251.09,104.84,142.2,119.4,,118.3,147,55.748486,15.753541,28.497978,73.47231,26.527689,70.54477,29.45523,40.281006,33.82245,33.51085,41.6407,1,1,edencroww
