,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-03-03.23.36 Piu Ranked Standard Loss,1,8,0,4,1,0,190,False,0,548,589.3283,50.94,3214,828,2650,662,564,166,33,7,43,15,663,51,423,46.82,14.308416,49.17,15.0265875,123.6,67.58,61.43,83.35,36.790096,20.11549,18.284916,24.809502,1653,534424,70.5,143.64,127.64,178.81,122.99,39.99,6.71,56,0.12,71.86957,37.34566,42.027035,20.627304,52.315754,35.984085,11.700169,2592,2122,3005,3729,157.22,106,78.57,217.49,124.3,208.39,133.39,93.4,120.1,,132,99.8,45.999004,22.987799,31.013195,63.632637,36.36736,60.97197,39.02803,28.543488,36.703136,40.339832,30.499357,1,0,edencroww
2023-03-03.23.30 Piu Ranked Standard Loss,1,7,1,4,1,0,180,False,100,506,578.6071,53.29,1447,194,1177,100,270,94,14,1,24,8,237,0,327,12.31,8.203932,29.05,19.360212,46.11,30.85,34.77,40.95,30.20042,20.20566,22.77312,26.820803,1649,235791,33.24,63.51,64.99,97.83,58.79,5.12,2.2,22,0.1,71.695656,40.18177,39.266724,20.551504,60.48597,36.34846,3.1655746,3116,2929,3398,3982,90.86,51.7,19.19,125.79,35.96,95.82,65.92,50.4,49.6,3,40.1,54.4,56.173107,11.863988,31.962906,77.76816,22.23184,59.243233,40.75677,33.588802,33.05565,26.724422,36.25458,2,1,edencroww
2023-03-02.23.17 JuanLuckyDuck Ranked Standard Loss,2,10,3,1,2,0,654,True,150,413,417.891,47.13,2138,360,1450,100,688,260,16,1,60,23,161,0,266,56.4,18.37313,27.54,8.9715605,125.76,65.75,57.04,64.08,40.226463,21.03125,18.24521,20.497072,1522,455080,46.96,119.13,152.26,168.59,123.99,25.78,7.1,55,0.13,66.17391,47.82786,37.42108,14.751061,52.955776,38.946476,8.097752,2811,2923,2661,3541,161.98,79.92,76.45,200.85,117.51,243.23,75.13,114.2,88.5,,108.7,95.8,50.88111,24.01445,25.104446,63.08895,36.91104,76.40093,23.59907,37.20233,28.83018,35.410625,31.208261,2,1,edencroww
2023-03-02.23.27 ehzgodd Ranked Standard Loss,2,6,0,1,2,1,360,False,0,398,373.25098,49.32,2014,137,1467,79,547,58,17,1,50,6,249,20,163,28.42,8.7783785,30.48,9.414672,124.78,59.5,75.45,59.82,39.048664,18.619934,23.611328,18.720076,1456,462217,49.07,114.46,168.98,162.46,144.64,25.41,6.93,56,0.12,63.304348,50.819523,34.423023,14.75745,48.85868,43.499443,7.6418753,3101,2987,3206,3719,207.2,87.57,37.74,265.28,67.23,242.45,90.07,131.3,99.7,,109.8,110.5,62.313915,11.350035,26.33605,79.78106,20.21894,72.91291,27.087093,40.555984,30.795366,33.91506,34.131275,0,1,edencroww
2023-03-01.23.56 UnoReverseCard Ranked Standard Loss,6,8,2,3,0,0,374,False,33.333332,464,463.7934,46.29,3101,530,2447,351,654,179,27,4,56,15,260,50,438,53.6,13.360919,44.01,10.970411,178.69,72.72,49.52,110.32,43.450455,17.682674,12.041337,26.825531,1584,620097,69.77,161.42,190.39,245.8,150.52,25.27,9.34,77,0.12,68.86957,45.16106,38.289295,16.549646,58.303093,35.702934,5.993975,3152,2816,3299,3832,216.22,108.41,96.95,273.19,148.38,299.21,122.37,139.9,149.3,1,140.7,134.3,51.288013,22.996822,25.715168,64.80299,35.197002,70.97348,29.02652,34.872993,37.21614,35.07241,33.477077,2,1,edencroww
2023-03-02.00.29 TayPie ) chat off Ranked Standard Loss,1,8,0,4,0,2,218,False,0,383,414.4018,42.31,2465,570,1638,200,827,370,19,2,65,24,281,0,334,53.4,14.962174,41.17,11.535444,172.73,83.77,41.03,62.45,47.98322,23.270737,11.397855,17.348185,1501,524603,58.13,130.11,189.84,233.69,139.64,4.76,8.41,72,0.12,65.26087,50.211594,34.41335,15.375052,61.80803,36.933002,1.2589595,3080,3170,2991,3558,181.61,99.94,96.54,229.3,148.79,274.77,103.32,144.6,111.8,2,103.8,118.4,48.03354,25.533604,26.43286,60.64694,39.35306,72.67317,27.326828,40.515553,31.325302,29.083778,33.17456,2,0,edencroww
2023-02-28.00.17 Kelvin Enjoyer Ranked Standard Loss,4,9,1,1,1,0,404,False,25,365,361.83542,52.92,2965,616,2020,401,945,215,27,5,84,20,727,102,423,70.95,14.430703,66.89,13.60493,166.1,104.43,102.88,124.47,33.361454,20.974934,20.663614,25,1483,724371,65.45,196.29,241.62,269.31,197.87,36.18,10.44,87,0.12,64.478264,48.00143,38.99595,13.002622,53.502464,39.309837,7.187699,2841,2735,2928,3540,253.5,139.49,110.37,327.44,175.91,370.04,133.31,159,167,,163.6,153.7,50.361572,21.926653,27.71178,65.05215,34.94785,73.51544,26.484552,32.33942,33.96656,33.27503,31.26144,2,0,edencroww
2023-02-27.23.47 Bumpelmuse Ranked Standard Loss,3,10,2,1,1,1,445,True,66.666664,437,417.32285,50.81,2332,472,1703,285,629,187,18,3,56,16,134,14,383,36.55,10.901337,51.21,15.273801,134.11,53.34,49.11,103.66,39.41861,15.678091,14.434777,30.468521,1518,502638,61.51,122.36,166.1,182.34,139.42,28.21,7.6,64,0.12,66,47.46121,34.962994,17.57579,52.10161,39.8377,8.060691,2731,2605,2859,3926,177.07,113.83,59.08,239.86,110.11,253.21,96.76,93.2,121.2,,150.6,87,50.59432,16.880964,32.524715,68.5373,31.462696,72.35191,27.648085,27.79766,36.14889,44.917683,25.948462,2,0,edencroww
2023-02-27.23.41 Kelvin Enjoyer Ranked Standard Loss,1,3,0,1,0,0,146,False,0,338,355.10318,45.01,1913,326,1365,188,548,138,18,2,52,13,365,21,198,62.51,19.33917,24.08,7.4498034,152.2,57.02,56.81,62.1,46.384056,17.377258,17.31326,18.925426,1443,455805,36.84,123.42,171.53,185.15,131.5,15.15,9.45,69,0.14,62.739132,51.69836,37.198227,11.103409,55.80169,39.63231,4.566004,2529,2394,2681,3424,164.51,93.87,73.41,212.71,119.08,259.73,72.06,120.5,107.1,1,110.6,88.4,49.582565,22.125443,28.29199,64.109825,35.89017,78.28145,21.718555,37.279953,33.1343,34.21712,27.348946,0,1,edencroww
2023-02-26.00.32 Maverick Ranked Standard Loss,4,3,1,0,0,0,364,True,25,402,414.39227,43.05,2194,406,1621,200,573,206,17,2,49,18,85,2,138,53.59,16.869707,24.92,7.8446183,119.29,68.55,49.66,80.08,37.562187,21.585114,15.637004,25.215693,1530,477820,42.63,130.93,150.02,193.14,111.75,18.68,8.42,62,0.14,66.521736,46.362568,40.46294,13.174485,59.690327,34.536575,5.7730937,3011,2457,3739,4001,126.3,112.98,84.29,182.04,141.53,270.13,53.44,120.6,87.1,,120.9,98.6,39.033283,26.050005,34.91671,56.25985,43.740147,83.48425,16.515745,37.963924,27.418388,38.05836,31.038498,2,1,edencroww
2023-02-25.22.51 kiwi Ranked Standard Loss,2,3,0,1,0,2,232,False,0,422,459.66986,52.47,2460,507,1742,409,718,98,21,5,59,9,364,90,356,23.62,7.3559637,28.16,8.769854,94.63,72.04,83.16,78.9,28.786541,21.91464,25.297356,24.00146,1468,465958,56.64,108.67,167.46,191.19,123.79,17.79,8.64,68,0.13,63.826088,50.323044,32.656185,17.020763,57.454094,37.199867,5.346035,2957,2780,3111,3625,179.71,103.92,49.14,234.66,98.11,259.25,73.53,126.6,85.3,,100.5,109.9,54.004265,14.766955,31.228775,70.517166,29.482824,77.90432,22.095678,39.426968,26.564932,31.29866,34.226097,0,0,edencroww
2023-02-25.16.51 Slimey Ranked Standard Loss,2,8,0,1,3,0,336,False,0,436,407.0063,47.92,2161,841,1560,700,601,141,17,7,52,12,147,0,330,28.37,8.905421,33.78,10.603635,94,64.18,56.15,81.08,31.820185,21.725739,19.007483,27.446602,1482,450763,43.89,118.22,149.68,184.77,111.48,15.55,6.7,49,0.14,64.434784,48.00667,37.91655,14.076783,59.259144,35.75369,4.9871716,2751,2403,3034,3759,160.72,87.27,63.81,212.95,98.84,201.57,110.23,80.7,128.2,1,121.6,91.4,51.545864,20.465042,27.989098,68.29918,31.700827,64.64721,35.352787,25.33195,40.242332,38.170574,28.69071,0,3,edencroww
2023-02-25.16.37 wwilcoz (New Fingers) Ranked Standard Loss,2,3,0,1,0,0,142,False,0,472,494.22018,53.46,2551,698,2005,523,546,175,24,6,50,16,411,76,503,49.58,16.00904,27.79,8.9732,91.19,63.29,57.18,98.42,29.408539,20.41086,18.440401,31.740194,1693,517227,79.07,132.3,101.87,172.54,122.38,18.31,8.64,70,0.12,73.608696,32.52139,42.23598,25.242624,55.084126,39.070335,5.8455453,2924,3007,2829,3830,120.92,114.95,77.37,180.87,132.37,222.44,90.79,92.7,127.6,,122.8,100.9,38.60299,24.699913,36.6971,57.74167,42.258335,71.01491,28.98509,29.932192,41.20116,39.651276,32.579914,1,0,edencroww
2023-02-25.16.37 Slimey Ranked Standard Loss,2,3,0,1,0,0,142,False,0,472,494.33194,53.46,2551,698,2005,523,546,175,24,6,50,16,411,76,511,49.57,16.00943,27.71,8.949391,91.2,63.27,57.11,98.48,29.413662,20.405727,18.419016,31.761595,1700,517236,78.6,132.61,102.01,172.36,122.55,18.31,7.96,70,0.11,73.91304,32.56816,42.337654,25.094183,55.028416,39.125854,5.8457313,2934,3034,2821,3833,120.96,114.96,77.3,180.85,132.37,222.3,90.92,92,124.9,,118.6,99.9,38.618225,24.67914,36.702637,57.738968,42.261032,70.97248,29.027521,29.712883,40.338467,38.30378,32.264317,1,0,edencroww
2023-02-25.16.31 wwilcoz (New Fingers) Ranked Standard Loss,4,8,3,2,1,0,479,False,75,392,405.71448,47.37,2040,247,1401,127,639,120,17,2,48,10,314,72,167,46.95,15.562332,39.79,13.189035,116,39.75,56.07,81.67,39.524345,13.543903,19.10457,27.827185,1489,413015,48.89,106.69,154.49,179.37,116.61,14.08,8.57,62,0.14,64.73913,49.824234,34.40836,15.767407,57.8501,37.608852,4.541057,3317,3445,3254,3894,190.12,76.9,43.05,232.23,77.84,254.49,55.58,129,91.8,,91.3,121.5,61.315186,13.883962,24.80085,74.89599,25.104006,82.07501,17.924984,42.759125,30.428585,30.262852,40.27313,0,5,edencroww
2023-02-25.16.25 wwilcoz (New Fingers) Ranked Standard Win,0,4,0,1,0,0,180,False,0,447,440.73767,50.94,2585,331,1938,194,647,137,24,3,56,12,468,107,339,46.37,13.176664,31.71,9.010826,116.91,72.22,51.77,103.52,33.94402,20.968584,15.031066,30.056326,1585,542342,73.66,131.01,145.03,205.3,130.78,13.62,8.79,69,0.13,68.91304,41.472694,37.46354,21.063772,58.707462,37.39777,3.8947668,2902,2999,2820,4109,162.5,106.81,80.39,218.61,131.1,237.3,112.4,137.7,123.3,,120.1,111.5,46.4684,22.988276,30.543322,62.51179,37.488205,67.85816,32.141834,39.129322,35.03737,34.128044,31.684237,2,2,edencroww
