,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU P-K VIT vs KC G3 2023-01-29.18.35,3,8,0,2,4,1,551,True,0,413,416.4152,51.15,2990,907,2246,600,744,307,25,6,67,28,293,20,248,44.42,10.310571,85.23,19.783203,134.84,59.15,76.89,160.35,31.268696,13.716578,17.83039,37.184334,1588,668145,79.36,183.71,178.86,234.85,168.1,38.98,10.04,83,0.12,69.04348,40.472473,41.56993,17.957596,53.1419,38.037697,8.820401,2787,2607,2954,3501,207.34,126.81,107.78,271.45,170.48,313.9,128.03,161.9,141.6,129.9,167.3,46.916935,24.388477,28.69459,61.42376,38.576244,71.02935,28.970652,37.5795,32.867558,30.1518,38.832924,1,2,Vati
EU P-K KC vs VIT G2 2023-01-29.18.26,2,10,1,0,2,1,473,False,50,398,382.68015,46.71,2127,253,1409,149,718,104,17,2,55,9,312,50,193,34.41,10.3181505,31.71,9.508532,113.89,97.97,63.99,60.76,33.834408,29.104897,19.01013,18.050562,1483,482841,49.71,124.76,173.56,187.91,136.17,23.94,8.1,61,0.13,64.478264,49.869263,35.847485,14.283252,53.99402,39.12706,6.878915,2818,2840,2779,3383,182.66,112.3,53.07,237.87,110.15,273.54,74.48,126.8,108.1,101.2,135.2,52.48398,15.248684,32.26733,68.349525,31.65048,78.59893,21.40107,38.02213,32.414764,30.345737,40.540947,1,1,Vati
EU P-K VIT vs KC G2 2023-01-29.18.26,2,10,1,0,2,1,473,False,50,398,382.61133,46.65,2127,253,1409,149,718,104,17,2,55,9,312,50,193,34.37,10.304302,31.88,9.557788,113.77,98.05,63.94,60.83,33.800762,29.130394,18.996403,18.072432,1481,483064,49.62,124.78,173.45,188.45,135.52,23.88,7.96,60,0.13,64.391304,49.86345,35.871788,14.2647705,54.175648,38.95932,6.865028,2827,2838,2802,3386,182.52,112.45,52.88,237.74,110.11,273.92,73.92,125.9,107,98.4,134.9,52.47089,15.201955,32.327152,68.34555,31.654448,78.74885,21.251148,37.74547,32.07915,29.500826,40.44371,1,1,Vati
EU P-K KC vs VIT G0 2023-01-29.18.18,3,7,0,3,2,2,419,False,0,411,439.3842,49.42,2502,363,1834,185,668,178,21,2,63,16,282,14,220,46.65,13.653925,44.53,13.033425,120.2,93.8,45.92,87.93,34.555126,26.965649,13.201094,25.27814,1510,500021,47.53,144.14,161.52,174.4,161.76,17.04,7.62,65,0.12,65.652176,45.73176,40.810894,13.457346,49.377125,45.798412,4.824463,2738,2845,2629,3536,190.43,107.85,54.92,249.88,103.32,256.74,96.45,142.5,119.8,112.9,140.6,53.91563,15.549265,30.535109,70.74745,29.252546,72.69175,27.308247,41.70813,35.0641,33.044548,41.152023,2,2,Vati
EU P-K VIT vs KC G1 2023-01-29.18.18,3,7,0,3,2,2,419,False,0,410,439.03726,49.69,2499,362,1836,185,663,177,21,2,63,16,316,14,221,46.64,13.656594,44.38,12.994847,120.1,93.75,46.03,87.88,34.53531,26.958246,13.236139,25.2703,1513,500016,47.4,143.86,161.48,174.36,161,17.38,7.54,65,0.12,65.78261,45.778763,40.78358,13.43766,49.430176,45.642685,4.9271417,2733,2836,2629,3539,190.04,107.78,54.92,249.74,102.99,256.08,96.66,139.7,119.4,111.1,137.9,53.875378,15.569542,30.555084,70.802025,29.19797,72.597374,27.40262,40.905365,34.96135,32.53104,40.378307,2,2,Vati
EU P-J KC vs GA G5 2023-01-29.18.08,7,5,3,3,1,2,795,False,42.857143,438,427.37338,51.52,3287,1136,2597,841,690,295,33,11,64,29,723,268,416,64.55,13.987909,67.26,14.575162,140.11,84.68,75.93,152.73,30.898664,18.674604,16.744955,33.68177,1670,717316,121.62,171.66,178.39,183.9,250.06,37.71,10.19,77,0.13,72.608696,37.820934,36.39409,25.784977,38.989124,53.01588,7.994997,2354,2149,3415,2978,209.69,123.86,138.12,269.17,202.5,339.48,132.19,185.8,129.8,153,160.9,44.456932,29.283186,26.259886,57.067444,42.932556,71.974045,28.02595,40.262638,28.127506,33.15492,34.866837,1,1,Vati
EU P-K VIT vs KC G0 2023-01-29.18.08,7,5,3,3,1,2,795,False,42.857143,438,427.43823,51.52,3287,1136,2597,841,690,295,33,11,64,29,723,268,414,64.45,13.968356,67.32,14.590377,140.03,84.7,76,152.76,30.8783,18.67737,16.758915,33.685417,1671,717485,122,171.29,178.38,184.55,249.55,37.57,10.51,80,0.13,72.652176,37.818817,36.315647,25.865543,39.12693,52.907753,7.9653144,2360,2145,3454,2986,209.55,124.04,138.09,268.93,202.74,339.28,132.39,182.6,125.4,151.3,157.3,44.426304,29.276203,26.29749,57.01656,42.983444,71.93165,28.068354,39.575207,27.178154,32.791504,34.091896,1,1,Vati
EU P-J KC vs GA G4 2023-01-29.16.32,4,7,2,2,3,0,620,True,50,424,430.08826,54.6,2957,586,2148,375,809,211,27,4,73,18,501,24,323,32.7,7.9268885,56.11,13.601765,119.68,118.4,57.68,124.85,28.45391,28.149591,13.713416,29.683079,1556,629054,77.28,159.15,190.33,223.12,177.72,25.92,7.8,75,0.1,67.652176,44.59884,37.29262,18.10854,52.28231,41.644016,6.0736713,2751,2690,2745,3359,210.18,145.79,70.79,297.08,129.68,316.56,110.2,121.5,135.9,137.9,139.5,49.250164,16.587778,34.162056,69.6129,30.387102,74.17752,25.822475,29.453117,32.943855,33.42868,33.816544,0,1,Vati
EU P-J KC vs GA G3 2023-01-29.16.22,3,2,1,0,1,0,339,True,33.333332,473,476.83014,54.49,2473,721,1853,487,620,234,22,5,58,22,403,32,305,50.59,16.257471,45.3,14.557491,118.56,53.59,38.68,105.07,37.530865,16.96423,12.244381,33.260525,1704,526115,66.32,151.72,98.91,147.93,128.3,40.72,6.34,57,0.11,74.08696,31.206814,47.868748,20.924435,46.672977,40.479572,12.847453,3139,2848,3416,3882,127.71,98.92,90.32,179.51,137.43,237.54,79.41,98.7,112,104.2,119.1,40.29342,28.496607,31.209969,56.63848,43.361515,74.94557,25.054426,31.717978,35.99203,33.485443,38.27367,0,0,Vati
EU P-J KC vs GA G2 2023-01-29.16.14,4,5,1,1,3,0,515,True,25,447,468.98608,58.1,2514,1157,1956,992,558,165,25,11,52,14,590,109,289,28.63,8.901533,64.86,20.166029,79.99,46.11,56.24,147.95,24.218113,13.96046,17.027462,44.793972,1570,499457,64.02,121.64,147.5,186.5,135.57,11.1,7.65,69,0.11,68.26087,44.27302,36.510986,19.21599,55.97743,40.69094,3.3316324,2818,2672,3034,3515,152.47,100.15,80.54,206.65,126.52,256.82,76.35,108.9,107,93.8,107.6,45.764797,24.17457,30.06063,62.025394,37.97461,77.08377,22.916227,33.85878,33.26804,29.163946,33.45459,3,0,Vati
