,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU C BDS vs VIN G2 2023-02-05.18.17,2,6,1,1,2,0,532,True,50,395,408.798,49.95,3299,702,2134,384,1165,318,24,4,96,27,279,23,425,44.03,9.093349,44.27,9.142916,137.99,115.69,113.18,121.7,28.24423,23.679794,23.166039,24.909939,1499,712337,71.96,178.06,242.81,267.36,195.44,30.03,5.79,49,0.12,65.17391,49.268513,36.130108,14.601384,54.249943,39.656677,6.093379,2552,2766,2348,3356,239.22,149.9,103.7,308.86,183.96,411.81,81.01,191.3,123.1,1,192.8,128.7,48.54105,21.042166,30.416784,62.671963,37.32803,83.56195,16.43805,39.508465,25.423378,39.818256,26.579926,1,1,M0nkey M00n
EU C BDS vs VIN G1 2023-02-05.18.08,2,3,1,1,1,0,337,False,50,419,442.8962,57.53,2458,635,1698,350,760,285,19,4,72,28,241,76,370,26.15,7.853089,43.21,12.976366,74.49,75.13,77.17,116.92,21.67234,21.858543,22.452068,34.01705,1516,499752,55.13,119.49,170.04,209.49,115.41,19.75,5.21,44,0.12,65.91304,49.335575,34.66895,15.995474,60.783398,33.48614,5.7304506,2950,3064,2759,3631,113.94,130.59,100.12,165.35,179.3,262.92,81.73,113.3,95.4,,102.2,125.2,33.059628,29.04976,37.890614,47.976204,52.02379,76.28609,23.713913,34.025047,28.64951,30.691614,37.59873,0,0,M0nkey M00n
EU C BDS vs VIN G0 2023-02-05.18.00,5,0,1,1,0,0,434,False,20,541,558.72687,56.04,3429,1016,2712,730,717,286,33,9,69,26,563,86,544,50.61,13.744127,55.56,15.088395,120.74,67.85,78.43,103.82,32.558517,18.2963,21.149282,27.995901,1764,645261,115.1,155.08,109.3,181.09,156.08,42.32,4,34,0.12,76.695656,28.80257,40.866447,30.330978,47.719307,41.128883,11.15181,2658,2569,3629,3565,153.68,136.36,89.45,217.22,162.26,228.66,150.82,148.2,96.9,,140.8,131.9,40.496452,23.57111,35.932438,57.24149,42.75851,60.256138,39.743862,40.246582,26.315075,38.23697,35.82,0,0,M0nkey M00n
EU A MST vs BDS G3 2023-01-27.19.08,4,10,1,2,3,0,520,False,25,425,439.355,48.71,3306,857,2179,481,1127,376,25,5,94,26,285,32,284,44.89,9.942854,36.11,7.9981394,168.28,114.68,60.4,109.09,37.19306,25.346449,13.349542,24.110952,1547,683427,67.09,201.19,188.78,249.77,171.78,35.5,6.27,57,0.11,67.26087,41.303112,44.01829,14.678597,54.64829,37.58451,7.767203,2633,2540,2691,3375,218.34,169.92,68.8,305.11,151.94,332.8,124.25,125.6,148.7,,161.6,125.3,47.770535,15.05273,37.17674,66.75637,33.24363,72.81479,27.18521,27.819614,32.93612,35.793392,27.753166,1,2,M0nkey M00n
EU A MST vs BDS G1 2023-01-27.18.50,2,5,1,2,1,0,396,False,50,415,419.66577,55.67,2373,905,1584,600,789,305,19,6,73,26,346,2,365,22.55,6.6466236,28.38,8.365019,91.55,64.54,86.5,93.73,27.221098,19.190056,25.719553,27.869291,1511,498395,43.67,138.18,163.23,206.38,118.95,19.75,5.01,41,0.12,65.695656,47.302082,40.042892,12.655038,59.80642,34.470264,5.7233105,2671,2574,2755,3594,150.95,118.92,75.22,203.7,141.38,273.97,71.11,120.3,94.8,1,112.4,104.6,43.742214,21.797213,34.460575,59.02979,40.970207,79.39318,20.606815,35.458485,27.942348,33.129955,30.830902,0,2,M0nkey M00n
EU A MST vs BDS G0 2023-01-27.18.41,1,3,0,0,2,0,303,True,0,459,463.13947,42.91,2292,534,1533,378,759,156,16,4,69,14,88,21,494,68.44,23.049204,21.53,7.2508674,161.4,40.8,29.07,60.3,55.35549,13.99321,9.970162,20.68114,1763,517684,86.3,123.64,83.94,148.72,122.96,22.2,4.99,43,0.12,76.652176,28.562677,42.071594,29.365726,50.60569,41.840206,7.5541034,2914,2364,3327,3995,162.16,88.57,43.16,215.5,78.38,214.22,79.66,188.7,159.1,,183.2,175.6,55.177105,14.685766,30.137125,73.32925,26.670748,72.8937,27.106302,63.550335,53.581657,61.698044,59.13852,1,1,M0nkey M00n
EU S MST vs G1 G0 2023-01-27.18.41,1,3,0,0,2,0,303,True,0,459,463.10825,42.91,2292,534,1533,378,759,156,16,4,69,14,88,21,490,68.58,23.094795,21.37,7.1964974,161.16,40.93,29.18,60.31,55.271282,14.037314,10.007545,20.68386,1758,517700,86.23,123.87,83.85,148.13,123.56,22.26,4.95,41,0.12,76.434784,28.525259,42.139816,29.334919,50.39292,42.03436,7.572716,2889,2353,3285,4004,161.85,88.96,43.14,215.48,78.46,214.3,79.65,188,157.3,,181.8,174.2,55.060387,14.675964,30.263649,73.30748,26.692522,72.90355,27.096443,63.310318,52.971878,61.222427,58.66307,1,1,M0nkey M00n
EU X BDS vs GLD G4 2023-01-27.18.23,4,10,3,1,1,0,627,True,75,393,423.56378,46.82,2465,541,1535,340,930,201,17,4,76,17,185,62,240,49.81,14.26485,22.68,6.4952173,149.96,71.36,54.46,70.95,43.249798,20.580856,15.706747,20.462608,1474,499068,44.76,134.79,186.85,216.92,127.74,21.73,5.56,46,0.12,64.08696,50.996174,36.78766,12.216156,59.20467,34.864487,5.9308386,2750,2667,2818,3490,174.22,108.8,83.38,234.55,131.84,267.95,98.44,121.4,126.5,,112.6,107.9,47.54912,22.756548,29.69432,64.01648,35.983513,73.132454,26.867544,34.76717,36.227734,32.24698,30.900969,1,1,M0nkey M00n
EU X BDS vs GLD G3 2023-01-27.18.15,8,12,0,2,4,2,720,True,0,402,403.1806,48.74,3262,648,2103,365,1159,283,25,4,106,25,431,47,458,50.63,10.429713,49.25,10.145435,182.93,101.66,88.99,115.18,37.42737,20.799576,18.2073,23.56576,1521,730104,77.71,189.46,235.86,289.32,185.86,27.85,6.26,56,0.11,66.13043,46.88786,37.663757,15.448382,57.515457,36.948093,5.536449,2610,2401,2772,3410,262.25,140.66,100.11,344.99,158.03,396.97,106.05,152.2,155.2,2,166,163.2,52.135105,19.901794,27.963104,68.583755,31.416246,78.917336,21.08266,31.352999,31.970995,34.19578,33.618984,1,0,M0nkey M00n
EU X BDS vs GLD G2 2023-01-27.18.05,6,6,1,0,1,0,336,True,16.666666,486,467.2492,46.85,2442,689,1781,381,661,308,20,4,59,26,224,18,374,20.31,6.476816,27.91,8.90044,98.41,89.81,53.32,64.24,32.18327,29.37079,17.437374,21.008568,1521,464902,47.91,110.95,154.52,179.74,106.74,26.89,6.09,50,0.12,66.13043,49.30755,35.4043,15.288148,57.35712,34.061974,8.580911,2800,2971,2666,3423,133.57,100.69,79.11,174.98,138.39,250.11,63.26,127.2,90.9,,96.3,107.2,42.62374,25.244919,32.131348,55.838146,44.161854,79.813,20.187,40.563812,28.98782,30.709867,34.185856,3,2,M0nkey M00n
EU X BDS vs GLD G1 2023-01-27.17.58,1,14,1,6,5,0,643,False,100,456,489.07693,48.43,2832,103,1942,0,890,103,22,0,66,11,280,11,398,41.37,11.907434,45.6,13.124947,123.28,76.05,70.71,88.05,34.427097,21.237677,19.746431,24.588789,1558,519922,59.91,139.95,164.97,198.71,143.62,22.5,4.09,35,0.12,67.73913,45.218323,38.360332,16.421347,54.46646,39.36628,6.167256,2498,2274,2665,3262,222.19,97.06,45.58,270.43,94.39,267.91,96.91,149.3,77.4,2,126.3,102,60.902336,12.493489,26.60417,74.12697,25.873034,73.43621,26.563784,42.972687,22.27787,36.352646,29.358433,0,2,M0nkey M00n
EU X BDS vs GLD G0 2023-01-27.17.49,1,2,1,1,0,0,122,False,100,316,394.51044,65.06,321,38,179,10,142,28,3,1,14,3,140,97,60,6.57,13.4576,5.22,10.692339,6.7,7.68,7.54,26.75,13.766181,15.779741,15.49209,54.96199,1740,84662,12.43,22.73,16.52,33.06,18.63,0,0.17,2,0.09,75.652176,31.965944,43.982197,24.051857,63.958214,36.041782,0,2886,2280,3313,3176,23,14.61,14.08,30.32,21.36,36.92,14.77,10.2,19.7,,16.5,15.1,44.496033,27.23931,28.264654,58.66873,41.33127,71.425804,28.574194,20.893076,40.352318,33.797623,30.929947,0,0,M0nkey M00n
EU O BDS vs OXG G5 2023-01-27.17.40,1,10,0,0,5,0,424,True,0,372,359.75085,57.29,1877,499,1161,338,716,161,15,5,66,14,301,161,177,26.94,8.605655,32.6,10.4136715,83.01,66.15,47.3,106.34,27.414135,21.846104,15.6208725,35.118893,1400,422310,36.21,97.1,176.6,186.41,104.68,18.82,4.84,45,0.11,60.869564,56.984283,31.331676,11.684037,60.14972,33.77755,6.0727305,2703,2734,2683,3353,166.57,91.86,51.48,224.73,85.18,229.72,80.2,105.4,106.5,,104.5,97.6,53.74786,16.611275,29.640863,72.5146,27.4854,74.12236,25.877645,33.668743,34.020126,33.38125,31.17713,1,3,M0nkey M00n
