,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU H GA vs BDS G4 2023-01-27.16.30,3,10,1,2,5,0,606,False,33.333332,436,461.30145,50.5,2545,432,1696,230,849,202,18,3,67,17,111,69,368,34.58,10.4465,27.23,8.2260895,93.21,89.08,67.2,83.27,28.011179,26.770044,20.194733,25.02404,1443,473299,44.67,113.98,183.79,193.13,124.09,25.21,6.27,51,0.12,62.739132,53.670715,33.284664,13.0446205,56.39985,36.238064,7.3620887,2624,2576,2680,3499,198.25,81.53,62.66,242.64,99.8,242.25,100.19,119.7,93.2,,115.5,117.3,57.893353,18.298096,23.80855,70.85621,29.143791,70.74232,29.25768,36.160957,28.1554,34.89215,35.43593,1,1,M0nkey M00n
EU H GA vs BDS G3 2023-01-27.16.23,1,8,0,3,2,1,399,False,0,395,424.15497,53.82,3135,234,2205,0,930,234,27,0,83,20,518,7,450,47.42,10.692945,35.09,7.912598,138.37,83.37,86.61,137.89,31.007978,18.682772,19.408838,30.900414,1544,665559,61.76,195.22,197.56,272.11,154.99,27.44,6.29,53,0.12,67.13043,43.463722,42.948914,13.587363,59.864918,34.098213,6.036873,2747,2643,2834,3600,223.96,163.99,66.58,311.09,143.44,353.54,101,155.4,123.6,1,145.3,157.6,49.272873,14.648097,36.079025,68.44212,31.557873,77.77973,22.220266,35.04183,27.871107,32.764336,35.537918,0,2,M0nkey M00n
EU H GA vs BDS G2 2023-01-27.16.14,1,10,0,2,2,0,410,False,0,391,388.70493,57.76,2113,314,1408,133,705,181,17,2,64,17,313,80,260,13.66,4.1881285,37.37,11.457566,85.26,50.05,82.33,106.19,26.328629,15.45564,25.423832,32.791897,1429,458070,49.56,105.15,174.25,180.48,126.89,21.59,4.7,39,0.12,62.130436,52.969967,31.964373,15.065661,54.863815,38.57308,6.563108,2668,2678,2642,3380,171.31,99.61,58.03,213.5,115.46,248.26,80.7,154.2,78.1,,108.2,109.2,52.07782,17.640978,30.281197,64.90151,35.09849,75.46815,24.531857,47.27741,23.945303,33.1739,33.4805,1,1,M0nkey M00n
EU H GA vs BDS G0 2023-01-27.15.59,1,7,0,2,1,0,264,False,0,609,596.22424,52.12,3095,1260,2577,1019,518,241,28,11,50,23,236,84,322,44.67,14.342131,35.47,11.388301,111.31,40.4,48.75,96.38,37.498318,13.610026,16.422989,32.46867,1711,491994,79.97,120.37,110.82,122.22,152.35,36.59,3.39,22,0.15,74.391304,35.615116,38.684277,25.700603,39.278828,48.961952,11.759223,2313,1647,3003,4086,146.12,77.69,87.35,181.56,129.6,180.95,130.21,142.4,99,,149.3,101.9,46.959763,28.072374,24.967861,58.349403,41.6506,58.153362,41.84664,45.720154,31.785784,47.93553,32.71688,0,2,M0nkey M00n
EU C QUAD vs BDS G3 2022-10-15.11.36,4,8,2,1,3,0,493,True,50,406,438.11972,62.72,2386,392,1672,218,714,174,23,3,65,17,656,98,280,10.91,3.338842,26.26,8.036479,56.2,60.2,74.7,128.14,17.604311,18.857286,23.399323,40.13908,1502,478435,45.87,129.93,159.22,210.01,105.88,19.14,4.89,45,0.11,65.304344,47.525524,38.782757,13.69172,62.683945,31.603144,5.7129216,2750,2583,2909,3306,151.49,124.7,58.83,213.85,121.18,255.33,79.7,104.4,102.4,,94.3,109.9,45.218197,17.560144,37.221657,63.830105,36.169895,76.21108,23.788914,31.950054,31.337984,28.8591,33.633247,0,2,M0nkey M00n
EU C QUAD vs BDS G4 2022-10-15.11.43,4,8,0,2,2,0,291,False,0,418,441.28113,59.33,2294,599,1569,347,725,252,20,4,66,22,404,33,290,12.88,4.1293964,24.29,7.787503,46.91,74.57,67.79,122.78,15.032848,23.896812,21.724083,39.34626,1541,474648,53.23,125.38,136.19,198.8,96.55,19.44,6.02,52,0.12,67,43.262386,39.82846,16.909147,63.15321,30.67124,6.175545,2833,2703,2979,3476,152.84,93.5,68.45,202.92,111.87,208.78,106.02,103.8,86.8,,90.7,98.7,48.553005,21.744656,29.702343,64.46202,35.537975,66.32148,33.678528,33.27883,27.82854,29.078901,31.643744,0,1,M0nkey M00n
EU C QUAD vs BDS G5 2022-10-15.11.52,3,7,0,1,1,0,376,False,0,410,430.4318,56.83,3421,1041,2158,584,1263,457,28,7,104,36,690,132,399,35.33,7.408728,50.28,10.543755,97.99,104.33,101.09,172.76,20.578785,21.910242,21.229815,36.281162,1525,719470,78.63,185.43,215.72,277.98,160.69,41.11,8.53,73,0.12,66.304344,44.962273,38.648964,16.38876,57.939056,33.49243,8.56851,2614,2432,2819,3296,204.11,188.7,86.97,296.3,183.48,364.56,115.22,138,156.1,,181.2,145.3,42.54241,18.127058,39.330524,61.757473,38.24253,75.984825,24.015173,28.938705,32.73429,37.997776,30.46952,1,1,M0nkey M00n
EU C QUAD vs BDS G6 2022-10-15.12.01,2,9,0,1,2,0,326,False,0,366,393.6935,45.94,2135,440,1347,276,788,164,14,3,70,14,63,23,270,52.91,16.260986,15.92,4.8927407,163.2,43.5,52.95,66.22,50.08132,13.348882,16.248812,20.320988,1474,470966,38.4,123.58,172.19,185.68,125.77,22.72,4.38,41,0.11,64.08696,51.527664,36.981174,11.491158,55.564537,37.636536,6.798935,2590,2495,2686,3352,177.16,95.37,61.64,224.65,109.51,257.56,76.61,112.1,100.4,1,114.4,96.8,53.01493,18.4457,28.539366,67.22827,32.771725,77.07455,22.925459,34.452026,30.85623,35.15889,29.74983,0,1,M0nkey M00n
EU C QUAD vs BDS G7 2022-10-15.12.12,5,9,0,1,6,0,812,False,0,409,405.35773,58.32,3677,893,2221,378,1456,515,28,5,135,49,656,165,635,31.48,5.7840004,54.2,9.958475,139.08,115.26,131.37,154.1,25.764622,21.351957,24.33634,28.547083,1540,826230,78.43,215.46,250.02,341.88,164.55,37.47,9.51,82,0.12,66.95652,45.96716,39.61317,14.419664,62.85714,30.253721,6.889134,2683,2544,2825,3380,249.95,173.13,120.83,335.46,208.44,429,114.91,187.5,141.1,,186.8,171.6,45.954292,22.21507,31.830631,61.676777,38.32322,78.87334,21.126656,34.450447,25.92511,34.32183,31.529049,0,2,M0nkey M00n
EU C QUAD vs BDS G2 2022-10-15.11.28,1,10,0,0,3,0,385,False,0,419,441.834,56.17,2589,476,1845,287,744,189,22,4,69,16,390,115,375,37.01,10.526765,34.43,9.792935,121.94,62.29,61.54,107.59,34.508717,17.627914,17.415667,30.4477,1486,516743,48.55,133.23,172.65,213.87,118.75,21.81,6.19,54,0.11,64.608696,48.712017,37.589935,13.6980505,60.341957,33.5045,6.1535425,2672,2472,2773,3603,150.68,127.52,76.24,220.98,133.45,250.38,104.05,111.4,127.9,,120.1,125.2,42.51213,21.509989,35.977882,62.347996,37.652004,70.643005,29.356997,31.685535,36.378635,34.16008,35.610672,3,1,M0nkey M00n
EU C QUAD vs BDS G1 2022-10-15.11.21,4,2,0,2,0,0,182,False,0,370,370.38416,46.92,1991,284,1166,165,825,119,15,2,74,13,268,47,281,20.07,6.2226768,16.26,5.0413914,116.71,94.7,53.86,51.24,36.87403,29.920065,17.01684,16.189062,1501,469693,44.03,128.62,155.28,197.63,111.34,18.96,3.91,31,0.13,65.26087,47.35157,39.221786,13.426646,60.26591,33.95237,5.7817216,2586,2475,2706,3213,169.4,103.42,55.11,229.13,98.8,251.88,76.05,140.4,82.4,,108.7,102.6,51.657368,16.805416,31.537218,69.87162,30.128382,76.809074,23.190928,43.53083,25.548012,33.70229,31.810995,0,2,M0nkey M00n
2023-01-24.11.19 Player Private Win,2,13,0,5,4,0,419,False,0,466,488.971,50.06,2734,470,2010,298,724,172,22,3,61,15,205,7,401,43.59,12.993322,28.4,8.465482,126.5,54.6,78.8,80.69,37.14143,16.031004,23.136322,23.69124,1615,516302,65.66,135.62,142.06,183.49,137,22.84,4.6,44,0.1,70.21739,41.375896,39.500206,19.123901,53.44421,39.9033,6.652492,2790,2247,3213,3583,172.99,103.18,67.16,227.83,115.5,244.56,98.78,117.3,87.5,1,119,114.4,50.385925,19.561356,30.052717,66.358894,33.6411,71.22968,28.770315,34.964825,26.082031,35.47156,34.10039,0,3,M0nkey M00n
2023-01-24.11.11 Player Private Win,4,13,1,4,1,1,372,False,25,443,469.51508,51.6,3174,723,2433,523,741,200,28,6,69,18,310,85,409,46.67,11.506127,40.78,10.053993,150.82,70.03,68.49,128.56,36.089977,16.757597,16.389088,30.763342,1531,606064,59.26,172.68,193.26,239.38,153.37,32.46,6,54,0.11,66.565216,45.45155,40.611477,13.936971,56.29689,36.069237,7.6338754,2797,2615,2980,3409,208.57,134.16,82.47,275.1,150.11,298.22,126.98,132.9,163.6,2,137.2,154.2,49.052208,19.395578,31.55221,64.69744,35.302555,70.136406,29.863592,32.765465,40.334316,33.825596,38.016815,0,1,M0nkey M00n
2023-01-24.11.01 Player Private Win,4,5,0,3,0,1,278,False,0,438,453.1093,49.95,2481,496,1781,278,700,218,20,3,57,20,247,26,196,45.13,13.73695,36.29,11.046175,112.55,81.94,43.5,96.9,33.608047,24.467735,12.989339,28.934874,1537,497884,41.74,153.21,147.86,180.81,138.8,23.2,4.86,39,0.12,66.82609,43.131763,44.692398,12.175841,52.743504,40.4889,6.767597,2995,2444,3423,3675,155.11,116.09,71.61,213.7,129.11,233.72,109.09,122,97.8,1,107.2,120.2,45.24664,20.889122,33.86424,62.337738,37.662262,68.17771,31.822292,37.135117,29.76897,32.6302,36.587223,1,0,M0nkey M00n
2023-01-24.10.53 Player Private Loss,3,7,2,1,2,1,468,True,66.666664,413,426.59583,48.17,2329,361,1560,187,769,174,17,2,70,16,181,29,348,34.69,10.590102,28.18,8.602741,131.86,72.62,45.44,78.75,40.119267,22.095112,13.825417,23.960203,1504,480709,46.75,124.55,167.34,194.09,123.5,21.06,5.47,43,0.13,65.391304,49.415306,36.77947,13.805221,57.312862,36.46833,6.21881,2781,2668,2893,3372,179.79,112.43,46.43,239.31,99.33,268.76,69.89,145.5,69.7,1,99.1,105.2,53.090214,13.71032,33.19947,70.66796,29.332033,79.36217,20.637825,44.417988,21.277893,30.253075,32.115273,0,1,M0nkey M00n
2023-01-24.10.46 Player Private Loss,1,5,0,1,0,0,74,False,0,375,246.90027,47.31,1145,160,800,100,345,60,9,1,32,6,125,12,187,15.04,5.405211,33.27,11.956873,51.95,57.05,27.21,37.16,29.964815,32.9065,15.694757,21.433928,1297,242672,32.93,62.11,179.78,168.6,89.69,16.52,15.12,20,0.76,56.391304,65.417366,22.600246,11.9823885,61.35148,32.637096,6.011426,3876,3750,4038,4351,200.08,35.3,39.43,217.6,57.21,209.19,65.62,204.9,41.7,,66,162.8,72.80666,14.348095,12.845239,79.181984,20.81802,76.12168,23.878319,73.63882,14.986523,23.719677,58.508537,0,2,M0nkey M00n
2023-01-24.10.32 Player Private Loss,1,10,0,3,3,1,408,False,0,403,434.3501,49.77,2416,470,1762,317,654,153,19,4,62,13,160,82,350,39.01,11.68874,34.54,10.349374,115.16,64.27,68.3,87.85,34.316708,19.151915,20.352825,26.178558,1503,485690,43.74,140.97,162.58,209.04,122.08,16.17,5.5,46,0.12,65.347824,46.813904,40.59144,12.594663,60.19177,35.152176,4.656051,3070,3063,3090,3695,181.81,109.5,55.98,248.91,98.38,250.5,96.79,154.2,108.3,1,110.9,132.3,52.351063,16.119095,31.529848,71.67209,28.32791,72.12992,27.870079,46.203632,32.450413,33.22946,39.64164,1,1,M0nkey M00n
2023-01-24.10.24 Player Private Loss,5,10,1,3,4,0,544,False,20,402,439.38428,58.41,2412,660,1511,351,901,309,18,4,76,20,333,60,323,26.29,7.981905,30.1,9.138659,105.49,49.23,67.44,116.45,31.153835,14.538851,19.91672,34.3906,1534,493061,54.81,126.27,162.25,203.08,124.02,16.23,4.98,42,0.12,66.695656,47.257744,36.778027,15.964233,59.150085,36.12268,4.72723,2846,2572,3037,3436,177.21,98.6,67.53,225.13,118.21,232.83,110.51,108.9,111.9,,98.5,132,51.61356,19.66855,28.71789,65.57057,34.42943,67.81325,32.186752,33.06312,33.97395,29.905579,40.07651,1,1,M0nkey M00n
2023-01-24.10.16 Player Private Win,1,9,0,1,4,2,504,True,0,419,413.978,47.16,2239,674,1316,363,923,311,16,4,67,20,299,39,254,20.58,6.341869,33.84,10.42803,107.75,77.34,62.62,77.74,33.108006,23.764019,19.241053,23.886927,1542,489585,50.79,130.06,151.89,177.1,137.78,17.86,3.52,31,0.11,67.04348,45.64825,39.087574,15.26417,53.224743,41.407707,5.367554,2748,2762,2740,3444,151.28,102.08,79.39,207.27,125.47,224.63,108.12,94.2,102.5,,106.8,112.7,45.463562,23.858753,30.677687,62.29188,37.708122,67.50714,32.492863,29.02838,31.586082,32.911156,34.729282,0,1,M0nkey M00n
2023-01-24.10.09 Player Private Loss,2,9,0,2,1,0,184,False,0,355,379.7803,43.46,2011,355,1133,200,878,155,14,2,72,14,203,0,202,44.51,14.009632,45.3,14.258286,118.85,65.06,59.96,72.41,37.577465,20.570381,18.957886,22.894272,1503,471087,42.8,131.37,150.76,198.97,112.48,13.48,4.67,32,0.15,65.347824,46.397682,40.43025,13.172069,61.234722,34.616684,4.1485853,2436,2361,2511,3237,173.77,106.82,44.34,222.32,102.61,234.08,90.85,110.9,81.8,1,109,72.7,53.479214,13.646016,32.874775,68.42089,31.57911,72.04013,27.95987,34.906048,25.746752,34.308018,22.882502,1,0,M0nkey M00n
2023-01-24.10.01 Player Private Loss,3,11,2,4,1,0,562,False,66.666664,450,458.2827,47.37,3205,748,2529,583,676,165,28,6,60,16,306,37,327,72.22,17.21122,48.85,11.641763,191.95,63.59,72.19,96.9,45.204063,14.975391,17.000685,22.819868,1629,667150,89.52,169.41,173.45,187.02,193.64,51.73,3.9,35,0.11,70.82609,40.115177,39.180817,20.704012,43.252617,44.78364,11.963736,2546,2337,2639,3965,239.81,108.46,84.11,304.19,128.19,291.31,141.07,189.9,149.1,2,228.3,102.4,55.46279,19.452797,25.084417,70.35247,29.647532,67.373604,32.626396,45.25631,35.532997,54.407665,24.403614,2,1,M0nkey M00n
2023-01-13.20.02 Tonio Private Loss,2,8,0,2,0,0,72,False,0,396,451.18448,56.47,2514,815,1898,683,616,132,25,8,60,12,588,36,359,41.46,12.401292,37.49,11.213808,93.58,68,51.54,126.84,27.526768,20.002354,15.160607,37.310272,1537,501383,50.79,135.35,162.61,219.43,116.54,12.78,7.02,89,0.08,66.82609,46.62652,38.810036,14.563439,62.918995,33.41649,3.6645162,3058,3002,3116,3762,133.89,143.16,71.7,215.92,132.83,222.02,126.73,99.2,113.9,2,112.4,107.9,38.3914,20.55914,41.04946,61.912544,38.087456,63.661648,36.338352,29.67217,34.069153,33.620483,32.274467,2,1,M0nkey M00n
2023-01-13.20.02 zenui Private Loss,2,8,0,2,0,0,72,False,0,398,449.5196,56.31,2503,815,1887,683,616,132,24,8,60,12,499,36,359,41.43,12.40085,37.33,11.173636,93.39,67.99,51.53,125.45,27.60078,20.093983,15.229342,37.075897,1536,501207,50.61,135.49,162.28,219.35,116.29,12.74,6.84,89,0.08,66.78261,46.581318,38.89144,14.52724,62.962856,33.380215,3.6569264,3066,3005,3128,3763,133.7,142.97,71.72,215.71,132.67,221.51,126.88,104,116.6,1,114.6,108.5,38.37653,20.586124,41.037342,61.91802,38.081978,63.581047,36.418957,31.129337,34.900776,34.302135,32.47628,2,1,M0nkey M00n
2023-01-13.19.55 Tonio Private Win,2,15,2,4,3,0,587,False,100,427,467.05817,49.58,2903,630,2211,441,692,189,28,6,66,16,612,158,573,52.52,14.083072,52.45,14.0643015,144.37,66.82,57.22,119.02,37.263508,17.246986,14.76912,30.720388,1590,578890,60.08,172.16,163.76,229.53,149.73,16.73,6.91,89,0.08,69.13043,41.353535,43.474747,15.171718,57.96358,37.811558,4.224854,3072,2774,3366,3830,203.01,129.88,63.1,268.26,127.73,268.71,127.28,114.6,130,1,120.1,142.6,51.26645,15.934746,32.79881,67.74413,32.255863,67.85777,32.142227,30.729628,34.85909,32.204437,38.237743,0,0,M0nkey M00n
2023-01-13.19.55 zenui Private Win,2,15,2,4,3,0,587,False,100,428,467.30878,49.58,2903,630,2211,441,692,189,28,6,66,16,612,158,573,52.29,14.028921,52.43,14.066482,144.13,66.8,57.17,119.04,37.229424,17.25474,14.767267,30.748566,1588,578935,59.95,172.02,163.76,229.35,149.43,16.94,7.11,88,0.08,69.04348,41.38175,43.469032,15.149218,57.957645,37.761547,4.2808046,3060,2762,3356,3818,202.79,129.9,63.03,268.13,127.6,268.26,127.46,117.1,132.5,1,121.5,144.8,51.24583,15.927929,32.826237,67.75579,32.244205,67.79036,32.209644,31.416842,35.54852,32.59732,38.848495,0,0,M0nkey M00n
2023-01-13.19.48 Tonio Private Win,3,7,2,5,1,0,412,False,66.666664,447,470.68094,51.3,2788,721,2054,460,734,261,23,5,68,24,269,21,379,43.73,12.304446,46.83,13.1767025,134.38,60.37,56.66,112.8,36.896294,16.575602,15.556958,30.971142,1659,571780,67.15,170.89,140.59,223.38,120.68,34.58,6.77,87,0.08,72.13043,37.131237,45.133774,17.734993,58.99535,31.871962,9.132686,3276,3014,3469,4095,168.06,126.46,84.12,233.63,145,266.41,112.23,119.7,125.4,1,121.5,132.8,44.38517,22.216354,33.39848,61.704037,38.29596,70.3597,29.640291,33.68036,35.284187,34.186832,37.36635,1,1,M0nkey M00n
2023-01-13.19.48 zenui Private Win,3,7,2,5,1,0,412,False,66.666664,448,470.8399,51.3,2788,721,2054,460,734,261,23,5,68,24,269,21,420,43.61,12.274825,46.68,13.138933,134.05,60.36,56.51,112.92,36.843117,16.58971,15.531552,31.03562,1661,571764,67.19,170.69,140.5,222.88,121.01,34.49,6.9,90,0.08,72.21739,37.131985,45.110733,17.75728,58.903748,31.981077,9.115176,3287,3060,3458,4076,168.06,126.24,84.08,233.37,145.01,266.31,112.07,121.1,128.5,1,124.1,134.7,44.415665,22.221046,33.363285,61.67609,38.323906,70.38162,29.618372,34.085793,36.168655,34.930195,37.913757,1,1,M0nkey M00n
2023-01-13.19.40 Tonio Private Loss,7,10,1,1,1,0,472,True,14.285714,412,426.66666,55.77,3168,1062,2189,800,979,262,26,10,86,22,477,200,490,43.44,9.750842,61.23,13.744108,105.22,87.37,105.37,147.48,23.621588,19.614313,23.655262,33.108837,1511,657771,62.42,174.87,213.97,289.73,138.76,22.77,10.96,111,0.1,65.695656,47.416122,38.751495,13.83238,64.20468,30.749456,5.0458717,3244,2868,3553,4246,198.72,144.89,107.65,276.81,174.45,317.33,133.93,146.7,156.3,,129.7,174.6,44.036697,23.855427,32.107876,61.341576,38.65842,70.32088,29.67912,32.929295,35.084175,29.113356,39.191917,1,2,M0nkey M00n
2023-01-13.19.40 zenui Private Loss,7,10,1,1,1,0,472,True,14.285714,413,426.95416,55.77,3168,1062,2189,800,979,262,26,10,86,22,477,200,492,43.36,9.739443,61.09,13.721922,105.12,87.4,105.22,147.28,23.62141,19.639566,23.64388,33.095142,1508,657767,62.39,174.51,213.92,289.04,139.03,22.75,10.75,112,0.1,65.565216,47.45131,38.70946,13.839226,64.11428,30.83936,5.04636,3243,2871,3551,4235,198.45,144.85,107.52,276.52,174.3,317.14,133.68,149.3,160.1,,132.5,177.6,44.019787,23.849873,32.13034,61.337112,38.66288,70.347374,29.65263,33.53549,35.96137,29.761904,39.89218,1,2,M0nkey M00n
2023-01-13.19.32 Tonio Private Loss,2,5,0,0,2,1,352,False,0,433,471.70795,50.95,2569,656,1844,298,725,358,25,4,65,32,678,118,437,17.57,5.3768706,46.32,14.175108,117.54,65.45,62.99,90.81,34.90009,19.433475,18.70305,26.963392,1584,511231,62.87,137.45,141.18,199.99,129.36,12.16,7.76,91,0.09,68.86957,41.34114,40.2489,18.409956,58.56051,37.87883,3.560657,3288,3288,3287,4002,120.06,126.36,95.09,174.98,166.52,250.32,91.18,95,123.2,,93.7,113.3,35.155632,27.843987,37.00038,51.23865,48.76135,73.30015,26.699854,29.072437,37.702362,28.674604,34.672707,1,0,M0nkey M00n
2023-01-13.19.32 zenui Private Loss,2,5,0,0,2,1,352,False,0,433,471.76566,50.95,2569,656,1844,298,725,358,25,4,65,32,678,118,397,17.58,5.3805895,46.37,14.192146,117.5,65.49,63.12,90.56,34.900646,19.452284,18.748331,26.898745,1587,511404,62.85,137.59,140.92,199.84,129.25,12.28,7.9,93,0.08,69,41.28193,40.30642,18.411646,58.54059,37.862144,3.5972698,3313,3327,3297,3993,119.86,126.47,95.03,174.9,166.47,250.36,91,96.9,126.3,,95.8,116.4,35.11249,27.838646,37.048866,51.23473,48.76527,73.34193,26.658075,29.657515,38.65577,29.320845,35.625744,1,0,M0nkey M00n
2023-01-13.19.26 Tonio Private Loss,1,6,0,0,2,0,306,False,0,404,418.7019,51.12,2303,998,1476,732,827,266,17,8,61,19,266,77,268,45.94,13.920369,37.25,11.287195,89.49,68.65,73.66,94.7,27.408882,21.026033,22.560492,29.004595,1478,478030,37.21,133.6,162.09,192.99,116.94,22.96,7.54,85,0.09,64.26087,48.6903,40.132175,11.177531,57.97411,35.128723,6.8971734,2594,2373,2854,3827,163.29,90.1,79.51,212.4,120.5,222.5,110.4,89.5,119.7,,133.6,81.5,49.050762,23.88405,27.065186,63.802944,36.197056,66.83689,33.163113,27.11957,36.27053,40.4824,24.695475,0,1,M0nkey M00n
2023-01-13.19.26 zenui Private Loss,1,6,0,0,2,0,306,False,0,404,418.9177,51.12,2303,998,1476,732,827,266,17,8,61,19,266,77,270,45.85,13.900257,37.19,11.274821,89.41,68.61,73.71,94.65,27.394447,21.02151,22.584105,28.999939,1475,478042,37.3,133.68,161.76,192.77,117.2,22.78,7.26,84,0.09,64.13043,48.614532,40.17551,11.209954,57.93238,35.221638,6.8459806,2593,2375,2847,3820,163.33,90.05,79.37,212.31,120.44,222.51,110.24,92.5,122.8,,135.3,85,49.0849,23.852743,27.062359,63.804657,36.195343,66.870026,33.12998,28.043049,37.229042,41.018642,25.769289,0,1,M0nkey M00n
2023-01-13.19.20 Tonio Private Win,4,10,1,4,0,0,418,False,25,384,406.56815,47.66,3974,767,2916,382,1058,385,37,5,98,37,767,135,475,74.59,12.718468,82.62,14.087678,226.6,106.3,75.36,187.45,38.038643,17.844252,12.650451,31.466652,1608,920800,96.8,272.79,233.96,364.22,211.47,27.87,10.72,139,0.08,69.91304,38.76398,45.197582,16.038439,60.345284,35.037113,4.6176023,3094,2817,3390,3894,244.37,220.7,138.49,353.04,250.52,419.42,184.14,164.8,227.2,1,176.6,218.5,40.488106,22.945524,36.566372,58.492943,41.507057,69.49102,30.50898,28.10033,38.74026,30.11237,37.25681,3,2,M0nkey M00n
2023-01-13.19.20 zenui Private Win,4,10,1,4,0,0,418,False,25,384,406.80743,47.77,3976,768,2916,382,1060,386,37,5,98,37,774,141,489,74.58,12.717848,82.41,14.053068,226.59,106.28,75.5,187.27,38.041435,17.842993,12.675441,31.44013,1607,921041,96.54,273.49,233.69,364.29,211.58,27.84,10.96,138,0.08,69.86957,38.708344,45.300804,15.990857,60.341885,35.046627,4.6114855,3095,2816,3390,3895,244.32,221.05,138.35,353.73,249.99,419.19,184.53,169.5,231.8,1,182.1,221.7,40.46909,22.916252,36.614655,58.59173,41.408268,69.43451,30.565495,28.9042,39.527985,31.05283,37.805668,3,2,M0nkey M00n
2023-01-13.19.09 Tonio Private Loss,2,6,1,2,1,1,324,False,50,409,449.548,51.69,2561,738,1810,523,751,215,24,8,69,19,626,284,310,22.38,6.5474973,37.97,11.108511,96.08,82.99,70.05,96.56,27.794493,24.007753,20.264408,27.93335,1638,544556,60.3,162.49,136.28,217.92,121.12,20.02,7.55,90,0.08,71.21739,37.9536,45.253017,16.793383,60.691807,33.732525,5.57567,3329,2914,3671,4103,138.1,139.95,81.02,214.65,144.42,271.04,88.03,133.2,123.8,1,102.2,129.5,38.46047,22.563843,38.975685,59.77943,40.22057,75.48389,24.516111,38.969017,36.218952,29.899652,37.886547,3,1,M0nkey M00n
2023-01-13.19.09 zenui Private Loss,2,6,1,2,1,1,324,False,50,411,451.4486,51.58,2571,738,1820,523,751,215,24,8,69,19,616,284,314,22.33,6.534972,37.96,11.109159,96.76,83.2,70.01,95.45,28.012276,24.08662,20.26808,27.633028,1635,544477,60.42,162.12,136.21,217.99,120.89,19.86,7.76,90,0.09,71.08696,37.967945,45.190243,16.841812,60.765457,33.6985,5.536043,3348,2925,3693,4102,138.07,139.79,80.89,214.6,144.16,271.02,87.73,134.1,125.1,1,104.7,131.7,38.486412,22.547735,38.96585,59.817146,40.18285,75.54564,24.454355,39.244953,36.61106,30.640911,38.54258,3,1,M0nkey M00n
2023-01-12.19.17 fades Private Loss,1,10,1,4,2,4,684,True,100,409,448.1989,45.01,2812,378,1963,122,849,256,23,2,81,24,386,100,225,47.29,12.562427,52.39,13.917225,157.05,118.47,32.62,88.87,39.558197,29.840557,8.216417,22.384827,1587,573552,49.44,186.43,171.12,220.87,154.79,31.32,7.52,94,0.08,69,42.04526,45.807022,12.147719,54.27048,38.03381,7.69571,3057,2762,3449,3905,172.3,127.78,106.91,234.11,172.87,294.76,112.22,99.5,146.5,,129.5,128.6,42.33519,26.268457,31.396347,57.523712,42.47629,72.42616,27.573835,26.431835,38.917225,34.401234,34.16215,0,1,M0nkey M00n
2023-01-12.18.18 TKAY Private Loss,1,10,1,4,2,4,684,True,100,409,448.8503,45.07,2811,378,1963,122,848,256,23,2,81,24,386,100,224,47.1,12.534596,52.48,13.966361,156.79,118.05,32.8,88.71,39.55847,29.784283,8.275515,22.381735,1586,573338,49.38,185.91,170.93,220.59,154.45,31.17,8.12,92,0.09,68.95652,42.078182,45.765842,12.155974,54.304424,38.022205,7.6733713,3050,2754,3447,3904,172.29,127.08,106.85,233.82,172.39,294.43,111.79,99.4,144.5,,127.9,127.8,42.412983,26.303482,31.283543,57.561356,42.438637,72.48043,27.519571,26.453054,38.455395,34.03768,34.01107,0,1,M0nkey M00n
2023-01-12.19.08 fades Private Loss,4,8,1,1,1,1,362,False,25,406,416.03644,54.43,2283,584,1563,374,720,210,20,4,68,20,504,44,305,20.46,6.214123,54.93,16.68337,109.95,56.61,45.45,117.92,33.325253,17.158186,13.77565,35.740917,1520,485290,50.03,130.34,157.46,205.78,113.89,18.15,7.46,85,0.09,66.08696,46.609245,38.581535,14.809224,60.9141,33.713223,5.372684,2907,2972,2820,3758,146.07,110.19,81.56,197.3,140.53,236.64,101.18,90.8,120.8,,108.7,114.2,43.239006,24.143034,32.61796,58.402153,41.597843,70.04913,29.950861,27.577827,36.689445,33.014427,34.68489,2,2,M0nkey M00n
