Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-03-06.23.31 LzrShak Ranked Standard Win,3,1,4,0,605,0,430.613,48.04,2983,469,2273,710,331,331,13.292753,10.593302,33.557827,24.891674,18.607473,22.943026,71,0.11,65.26087,48.186703,36.16379,15.649508,58.120632,37.22135,4.658016,2803,2502,3097,3605,1.0,58.848835,14.962334,26.188837,73.64181,26.358192,75.50026,24.499739,42.007504,24.42017,34.52507,31.878548,2,4,edencroww
2023-03-06.23.35 ) Ranked Standard Win,3,1,4,0,605,0,431.00708,48.04,2983,469,2273,710,331,331,13.312141,10.578915,33.57288,24.855032,18.617731,22.954353,70,0.11,65.17391,48.150875,36.209476,15.63964,58.093517,37.299625,4.6068597,2804,2500,3092,3603,1.0,58.895016,14.962184,26.142796,73.60573,26.394274,75.581505,24.418493,41.419834,24.081299,33.858307,31.257524,2,4,edencroww
2023-03-05.22.03 skatesgame -_- Ranked Standard Win,4,3,0,1,597,1,457.14996,55.1,2452,444,1941,511,593,263,12.724504,14.6914425,27.481506,17.305922,18.455688,36.756886,61,0.12,68.95652,40.561153,39.02966,20.409176,49.440304,44.5331,6.0265965,2981,2347,3495,4038,1.0,46.77773,23.16528,30.056993,62.54859,37.451412,70.10171,29.898293,30.42073,42.850037,40.17774,29.581753,1,0,edencroww
2023-03-05.21.40 t.tvehzgodd Ranked Standard Loss,1,0,2,0,255,0,412.93295,50.79,2748,575,1912,836,195,387,8.878259,7.5458937,27.317842,23.103352,19.581097,29.99771,74,0.14,64.91304,47.165226,39.36866,13.466116,54.163742,41.20653,4.6297226,2850,2834,2809,3762,,46.605373,21.144405,32.25023,64.93887,35.06113,75.741554,24.258444,38.01748,25.19472,35.838615,28.650854,1,2,edencroww
2023-03-05.21.33 t.tvehzgodd Ranked Standard Win,4,1,0,0,298,0,348.5716,43.42,1938,428,1085,853,232,243,17.959171,7.092539,39.425953,21.251663,17.56177,21.760614,57,0.14,65.91304,49.03265,35.475365,15.491989,58.464226,36.00665,5.529122,2960,2631,3259,3700,1.0,52.668537,20.591606,26.739853,66.72781,33.272186,68.964424,31.035568,28.29821,35.222878,32.644863,30.426573,0,0,edencroww
2023-03-05.21.19 Amyzo Ranked Standard Win,1,0,0,1,150,0,436.85352,55.82,2351,296,1625,726,343,493,10.445959,15.896563,24.630165,24.377,17.736769,33.25606,66,0.14,69.347824,42.217525,38.376827,19.405642,57.263542,37.921257,4.815206,3388,3383,3409,3818,1.0,45.70084,19.782177,34.516987,64.3426,35.65739,76.955795,23.044197,38.5878,24.46578,31.681635,38.804585,0,1,edencroww
2023-03-05.16.16 ShiftyGOSU Ranked Standard Win,1,0,1,0,211,0,488.907,48.3,2795,354,2277,518,524,643,17.349348,11.072563,39.633736,22.096216,15.179771,23.090279,60,0.13,68.26087,42.958157,40.900215,16.141636,54.95213,38.31297,6.7348957,2710,2420,2936,3667,2.0,57.337402,13.544073,29.11852,74.116875,25.883131,63.595345,36.40466,28.832977,38.686916,40.26122,27.783445,0,0,edencroww
2023-03-05.15.16 peepybutthole Ranked Standard Loss,1,0,1,0,211,0,537.96094,29.89,124,12,100,24,0,0,36.65944,10.556761,50.17999,19.51044,6.4794817,23.830095,2,0.11,67.304344,37.67173,60.737522,1.5907447,51.12075,48.87925,0.0,1255,1102,1399,4351,,0.0,40.274765,59.725235,32.53796,67.462036,57.70065,42.29935,,93.99856,83.87563,5.0614605,0,0,edencroww
2023-03-05.15.15 peepybutthole Ranked Standard Loss,0,0,1,0,177,0,485.90292,49.33,2588,260,2095,493,506,568,17.03852,11.036705,39.74517,21.184233,15.568881,23.501724,57,0.13,68.04348,43.81319,40.08347,16.103338,55.37137,37.944923,6.6837144,2797,2555,3010,3606,2.0,61.23505,11.260032,27.504925,77.85322,22.146782,63.621666,36.37833,29.915197,35.76681,38.082424,28.7261,0,0,edencroww
2023-03-05.16.02 ) Ranked Standard Win,2,0,0,0,116,0,402.5183,50.42,1300,129,1021,279,189,245,12.963154,13.391475,30.991901,25.35931,17.677124,25.971659,38,0.13,66.95652,46.18436,37.630783,16.184856,58.481678,36.044033,5.47429,3114,2822,3376,3602,,63.31135,10.199832,26.48882,78.69893,21.301071,73.14424,26.855755,35.865414,29.569614,36.381462,32.04665,0,0,edencroww
2023-03-05.14.47 LTXSam Ranked Standard Win,2,1,1,2,426,0,369.16812,45.35,1994,449,1460,534,171,249,12.453715,13.962603,40.358227,23.35941,11.392563,24.889801,68,0.13,64.78261,49.484688,36.146194,14.369117,56.64115,41.00563,2.3532217,2672,2765,2569,3346,1.0,53.66973,16.087812,30.242466,71.32134,28.678661,79.79506,20.204937,41.13182,22.772158,32.677116,30.023453,0,1,edencroww
2023-03-05.01.11 JuanLuckyDuck Ranked Standard Win,2,1,1,1,346,0,379.66043,38.03,2169,74,1292,877,222,342,18.020304,6.648579,50.57055,15.920784,13.9461355,19.56253,67,0.12,63.260868,51.95627,35.987015,12.056718,55.771687,38.99495,5.2333646,2954,2816,3075,3566,1.0,69.55159,7.827849,22.620567,82.016205,17.983795,78.99162,21.008379,42.59292,24.330475,36.349846,33.66591,1,0,edencroww
2023-03-05.00.42 Jag NU. Ranked Standard Loss,3,1,1,1,459,0,479.70837,48.72,2961,433,2136,825,268,508,11.583637,10.606183,38.266037,19.664782,16.59672,25.47246,71,0.13,71.21739,39.22162,39.292194,21.486187,61.51539,34.44912,4.03549,3168,2974,3382,3732,1.0,52.50542,18.621767,28.872814,70.420685,29.57931,75.19976,24.800243,39.260155,34.15688,30.322668,38.828136,5,0,edencroww
2023-03-05.01.42 Hope. Ranked Standard Win,3,1,1,1,459,0,479.7602,48.72,2961,433,2136,825,268,497,11.622695,10.569523,38.277523,19.62215,16.628014,25.472313,70,0.13,71.04348,39.313354,39.20496,21.481688,61.44132,34.500404,4.058278,3168,2980,3376,3730,1.0,52.520668,18.594978,28.884352,70.51825,29.48175,75.2193,24.780703,39.264397,34.214577,30.136913,38.967354,5,0,edencroww
2023-03-04.20.06 Hydur Ranked Standard Loss,0,0,1,0,100,0,439.65182,48.12,2837,390,2121,716,282,514,11.20438,13.875042,36.739452,25.772635,14.116831,23.371088,82,0.12,69.26087,44.938236,33.94745,21.114315,61.766914,36.943886,1.2892035,3335,3416,3242,3451,1.0,58.039944,15.437626,26.522432,73.41022,26.589785,76.43571,23.564297,41.738773,28.10135,21.385954,42.72025,2,0,edencroww
2023-03-04.20.56 Fire x logx Ranked Standard Loss,3,0,2,0,240,0,431.20813,56.19,2348,405,1753,595,658,360,7.5632825,13.954271,25.594328,17.99958,20.163496,36.2426,50,0.13,65.08696,46.581223,36.703426,16.715351,52.53353,40.071533,7.3949327,2943,2928,2841,3557,,52.734646,17.066557,30.198803,67.356186,32.643814,74.85246,25.147541,36.178875,27.914665,33.73022,33.944477,1,1,edencroww
2023-03-04.20.50 Fire x logx Ranked Standard Win,6,3,0,0,531,1,439.25153,52.98,2500,611,1760,740,561,265,11.862719,18.305075,33.032837,12.793195,19.8977,34.276264,63,0.15,63.826088,50.52524,37.383205,12.0915575,59.17786,33.99679,6.8253436,2631,2419,2829,3593,1.0,45.14292,24.346216,30.510864,61.64649,38.353516,80.13436,19.865646,39.884037,25.535156,31.71396,31.128292,2,0,edencroww
