Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-04-18.00.50 capybara man Ranked Standard Loss,3,0,1,0,156,0,355.7375,50.66,2028,781,1123,905,318,190,3.9409444,10.887299,25.145378,29.708672,19.069582,26.07637,65,0.11,60.95652,56.72185,32.8394,10.438742,58.58282,38.15292,3.2642586,2556,2578,2518,3669,3.0,34.406734,33.016006,32.577263,50.565674,49.434326,68.25419,31.745813,24.733227,40.374218,37.509136,23.709984,0,0,VinuJ
2023-04-14.01.35 Tmae_ig Ranked Standard Win,2,0,0,1,174,0,366.4984,40.31,2142,529,1231,911,402,168,16.990332,10.713776,47.332695,23.462692,7.959496,21.245123,44,0.13,63.608696,51.212547,40.636723,8.150725,61.86722,33.010715,5.122071,2482,2277,2629,3128,1.0,51.53064,16.513512,31.955847,70.03887,29.96112,69.868416,30.131586,29.372343,38.46921,35.81715,25.237402,1,2,VinuJ
2023-04-14.01.35 sreescanor Ranked Standard Win,2,0,0,1,174,0,367.4517,40.15,2148,536,1237,911,396,146,16.909962,10.7458515,47.499928,23.460245,7.9312587,21.108566,45,0.13,63.652172,51.315002,40.566757,8.118241,61.76982,33.144054,5.086127,2477,2282,2618,3116,1.0,51.550064,16.516779,31.933163,70.014946,29.985058,69.847305,30.152693,28.739239,37.72025,35.040203,24.377031,1,2,VinuJ
2023-03-23.23.59 VinuJ Ranked Standard Loss,1,0,5,1,572,0,346.67526,51.5,1969,159,1265,704,399,102,7.6941137,12.160338,23.416296,31.928164,14.878444,29.777098,66,0.12,57.434784,61.7681,34.0975,4.134396,65.97572,32.235897,1.7883797,2661,2816,2567,3008,2.0,68.70476,7.2154784,24.079758,83.86515,16.134846,77.50929,22.490705,36.680557,31.574623,34.743824,35.829567,1,1,VinuJ
2023-03-24.00.22 VinuJ Ranked Standard Loss,2,0,1,1,256,0,338.97586,53.71,1859,435,1244,615,369,163,13.520742,12.265614,35.333794,16.697144,15.716898,32.252167,34,0.1,62.130436,51.9716,37.01737,11.011032,56.684757,37.7116,5.6036377,2216,1812,2544,3017,2.0,46.067184,23.148012,30.784801,61.088455,38.911545,71.7383,28.261698,28.384745,42.18204,45.889683,25.6496,1,0,VinuJ
2023-03-24.00.30 VinuJ Ranked Standard Loss,1,1,2,0,382,0,397.3464,57.36,2296,526,1580,716,766,403,7.346409,10.885492,26.603167,18.95005,25.011076,29.435707,43,0.1,66.08696,48.49656,37.08767,14.415779,60.93851,35.49006,3.5714285,2500,2397,2666,3303,1.0,46.501514,24.275991,29.2225,59.79738,40.20262,67.319534,32.68046,28.526102,40.9576,39.803864,28.151138,1,0,VinuJ
2023-03-24.00.38 VinuJ Ranked Standard Loss,3,2,2,0,518,0,404.39487,52.78,2785,823,2158,627,372,237,5.999371,12.206868,26.6147,23.849382,19.186953,30.34896,42,0.12,67.0,43.279266,41.45561,15.265131,51.062416,41.759155,7.178429,2561,2193,2792,3426,,47.16359,23.14661,29.689796,62.4668,37.5332,71.87849,28.121517,32.477432,40.996105,42.956367,31.533604,0,3,VinuJ
2023-03-24.00.44 VinuJ Ranked Standard Win,2,1,3,0,487,1,389.71112,53.36,2010,785,1309,701,412,219,13.158405,12.137273,36.67999,8.149688,25.35103,29.819284,30,0.12,70.521736,37.312485,45.653484,17.03403,55.03298,36.87048,8.096537,2288,1688,2949,3590,,36.36306,34.5522,29.084738,48.623623,51.376377,69.87187,30.128122,20.745813,45.304726,46.823498,22.878565,0,0,VinuJ
2023-03-24.00.51 VinuJ Ranked Standard Win,1,0,2,0,271,0,388.7303,58.11,2088,638,1550,538,305,264,11.12697,11.7072115,33.33032,14.991102,13.642808,38.035774,35,0.14,68.391304,43.078625,39.298435,17.62294,54.404236,39.606716,5.989045,2643,2537,2786,3564,1.0,39.00811,24.138756,36.85313,57.55889,42.441113,71.967316,28.032684,29.756733,35.962517,37.389847,29.198214,1,0,VinuJ
2023-03-24.01.00 VinuJ Ranked Standard Win,1,1,1,1,336,1,364.5484,59.55,2047,470,1350,697,674,167,1.3594135,14.069039,18.947115,26.014593,17.931013,37.107277,46,0.13,63.04348,52.111794,33.00603,14.882172,55.58402,39.472336,4.943648,2295,1896,2558,3079,1.0,53.275845,18.175093,28.549068,67.60018,32.39982,78.822296,21.17771,28.345848,31.729542,41.70253,21.400373,0,1,VinuJ
2023-03-24.01.07 VinuJ Ranked Standard Win,3,1,2,0,398,1,390.0566,58.05,2032,659,1398,634,352,152,7.8510413,15.391752,24.695372,20.803364,10.257168,44.2441,43,0.11,60.217392,53.611317,39.422062,6.9666233,55.403374,39.29086,5.30577,2339,2087,2590,3015,,48.276855,23.621643,28.1015,62.9088,37.0912,73.4848,26.5152,36.055923,37.847523,40.88684,29.401413,0,2,VinuJ
2023-03-24.01.15 VinuJ Ranked Standard Loss,3,2,2,0,462,0,374.0541,51.94,2175,387,1604,571,670,157,7.432355,13.933157,33.9381,19.758286,17.479593,28.82402,46,0.12,64.04348,51.898663,39.338264,8.763068,57.12219,38.94409,3.9337192,2591,2799,2436,3032,1.0,63.017662,10.829624,26.152712,77.29246,22.707542,76.92118,23.078814,33.220592,26.914698,35.341663,24.277689,0,2,VinuJ
2023-03-24.01.22 VinuJ Ranked Standard Loss,2,0,0,1,200,0,424.21515,54.24,2358,659,1639,719,259,345,9.858774,13.456867,23.049364,21.669163,21.642733,33.63874,61,0.1,63.869564,50.587498,36.7405,12.672011,59.49207,35.53493,4.9729943,2800,2451,3165,3330,,49.883648,24.849894,25.266453,59.349594,40.650406,69.565346,30.434658,28.514887,34.271835,31.573265,35.02144,10,1,VinuJ
2023-03-19.20.49 Morphan1 Ranked Standard Win,1,1,2,1,345,0,361.6579,54.18,2116,352,1286,830,550,169,7.417747,6.1216354,33.373196,20.51749,18.682901,27.426413,52,0.11,62.782608,51.071777,39.32328,9.6049385,57.34234,38.44727,4.2103868,2639,2491,2793,3207,,55.16693,12.00583,32.82724,73.04452,26.955482,73.343925,26.656069,26.691355,33.812847,35.294117,29.853298,0,0,VinuJ
2023-03-20.01.49 Bc Ranked Standard Win,1,1,2,1,345,0,363.06656,54.42,2124,352,1286,838,554,169,7.418592,6.1907067,33.315216,20.59303,18.625319,27.466434,53,0.11,62.782608,51.113113,39.231953,9.654935,57.296192,38.49782,4.205979,2623,2459,2791,3212,,55.173332,11.995124,32.83155,72.98844,27.011555,73.29323,26.706776,26.779863,33.50332,35.32663,29.79972,0,0,VinuJ
2023-03-15.01.16 Clam- Ranked Standard Win,3,1,0,0,218,0,390.76974,49.31,1891,499,1373,518,256,125,12.843121,8.668848,48.15511,15.006266,10.703843,26.13478,46,0.14,63.47826,54.005505,34.64254,11.351961,61.79902,32.586502,5.614477,3078,2717,3445,3693,2.0,53.181763,18.01339,28.804852,67.6223,32.3777,74.6611,25.338902,39.02187,30.997072,29.481659,41.501637,1,2,VinuJ
2023-02-25.01.30 30 ping arab Ranked Standard Loss,1,0,1,0,108,0,339.45383,47.64,1821,189,980,841,136,80,15.155187,5.682419,44.67341,12.493101,19.969336,22.864151,46,0.11,60.695652,56.88705,36.446693,6.6662607,59.67354,37.171482,3.1549776,2539,2714,2314,2989,,55.772453,14.422755,29.804794,71.68438,28.31562,73.240555,26.759449,36.225807,28.241217,28.92472,32.249046,2,1,VinuJ
2023-02-07.00.33 Allo Ranked Standard Win,1,0,1,0,114,0,352.55576,50.46,1937,517,1213,724,227,201,13.453663,6.388594,33.38323,28.551329,18.324701,19.740742,64,0.14,62.739132,52.44788,38.123585,9.428539,60.76894,32.981968,6.2490926,2837,2842,2860,3535,,49.004005,16.6415,34.354492,65.04632,34.953686,73.76154,26.238457,36.341576,29.940847,31.487942,35.886547,0,0,VinuJ
2022-01-09.00.46 joe. Ranked Standard Loss,3,1,1,0,289,0,363.8467,50.22,1992,184,1459,533,362,192,13.811685,14.77975,34.418537,18.93617,17.770329,28.874964,29,0.09,64.521736,54.9663,33.23964,11.794063,58.15861,37.38133,4.46006,3029,3036,2997,3825,3.0,44.399826,19.48659,36.11358,63.827225,36.172775,70.08834,29.911661,36.074158,37.93114,39.087948,35.769733,0,0,VinuJ
2022-01-09.00.38 RESPEC Ravox Ranked Standard Loss,2,0,0,1,182,0,368.96695,49.85,2087,609,1185,902,351,257,13.963698,14.776946,36.796253,17.523884,15.604158,30.075708,32,0.13,64.21739,52.460094,34.39282,13.147093,55.04689,40.588924,4.364186,3492,3432,3548,3875,1.0,46.17731,22.351768,31.470922,61.875713,38.12429,67.10377,32.896236,25.811773,41.899933,25.929636,40.01414,0,2,VinuJ
2022-01-09.00.38 joe. Ranked Standard Win,2,0,0,1,182,0,368.5109,49.85,2087,609,1185,902,351,263,13.934668,14.77634,36.890755,17.52401,15.549219,30.036013,32,0.13,64.08696,52.44996,34.464596,13.085443,55.079144,40.550617,4.370231,3493,3427,3549,3887,1.0,46.190643,22.295298,31.514065,61.895,38.105,66.99883,33.001167,26.221308,42.31901,26.221308,40.43555,0,2,VinuJ
