Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2022-11-27.18.31 PWR Fever Private Loss,5,0,2,2,402,0,553.6707,44.87,3204,980,2322,882,347,483,14.921805,8.179488,39.32403,24.195341,13.099672,23.380955,82,0.11,71.304344,38.895264,36.838226,24.266514,51.664978,41.390987,6.9440265,2875,2801,2948,3868,38.261486,27.121237,34.617275,52.933945,47.066055,74.348465,25.651533,28.08099,32.833157,33.23637,30.817085,4,1,Oski
EU F EG vs TL G5 2022-11-13.16.36,4,1,2,1,516,1,573.63855,53.86,3053,707,2290,763,352,527,10.713056,10.161901,32.117805,21.244392,15.262593,31.375214,62,0.11,72.434784,35.12449,41.519714,23.3558,51.58183,38.71484,9.70333,2652,2416,2848,3659,36.238575,30.88973,32.871696,53.15914,46.84086,75.3393,24.660696,33.50766,33.695553,35.731064,28.653746,1,1,Oski
EU F TL vs EG G5 2022-11-13.16.36,4,1,2,1,516,1,573.6206,53.86,3053,707,2290,763,352,527,10.684537,10.139663,32.17795,21.289772,15.194794,31.337484,61,0.11,72.434784,35.102295,41.489002,23.408707,51.633644,38.635242,9.73111,2635,2408,2824,3656,36.243652,30.835255,32.921085,53.114906,46.885094,75.38533,24.614676,34.1329,34.00764,36.074406,29.216509,1,1,Oski
EU F EG vs TL G4 2022-11-13.16.29,2,1,4,1,611,1,523.03174,48.63,2850,731,2181,669,294,459,14.5408945,7.4142046,40.599976,16.756306,16.499344,26.144377,80,0.11,74.82609,32.67231,41.621017,25.706669,51.36354,42.19221,6.4442425,2682,2549,2860,3699,42.93749,26.023785,31.038725,58.173935,41.82606,72.24793,27.752066,28.690279,34.593502,35.939316,25.84572,0,0,Oski
EU F TL vs EG G4 2022-11-13.16.29,2,1,4,1,611,1,523.16724,48.8,2851,731,2182,669,325,465,14.579319,7.444108,40.57486,16.71995,16.492874,26.212317,79,0.11,74.652176,32.736214,41.587635,25.67615,51.238144,42.281345,6.4805055,2680,2562,2847,3707,42.916523,26.030325,31.053156,58.20454,41.795452,72.204666,27.795341,29.66633,35.049088,36.82295,26.607946,0,0,Oski
EU F EG vs TL G3 2022-11-13.16.22,4,0,2,2,401,0,507.44223,48.28,2841,465,2110,731,311,549,19.543343,8.990235,43.30432,15.996459,16.309189,24.390028,89,0.11,74.21739,34.69646,40.677914,24.625618,53.35791,41.80106,4.8410325,2861,2680,3079,3859,39.32037,25.49172,35.187904,58.62059,41.37941,71.176384,28.823614,27.923313,33.96642,36.228863,28.846153,2,2,Oski
EU F TL vs EG G3 2022-11-13.16.22,4,0,2,2,401,0,506.7984,48.05,2839,465,2109,730,292,548,19.499569,9.014906,43.352604,15.960835,16.29999,24.386576,87,0.11,74.21739,34.84129,40.726353,24.432358,53.287865,41.865955,4.846183,2860,2673,3083,3855,39.356525,25.500015,35.14346,58.63766,41.362343,71.19054,28.809464,28.71084,34.661274,36.68442,29.216627,2,2,Oski
EU F EG vs TL G2 2022-11-13.16.13,4,0,0,1,248,0,485.31,43.56,2698,823,1775,923,225,458,19.237919,6.0169086,44.94216,20.348839,10.980239,23.728762,89,0.11,69.82609,42.264843,38.06906,19.666092,53.58615,39.99006,6.4237885,3136,3043,3230,3841,38.859646,30.33041,30.809942,51.91661,48.08339,72.45402,27.545977,31.11884,34.476555,30.219452,36.72503,4,1,Oski
EU F TL vs EG G2 2022-11-13.16.13,4,0,0,1,248,0,485.35364,43.56,2698,823,1775,923,225,438,19.236652,5.987467,44.984333,20.357874,10.977224,23.680563,88,0.11,69.86957,42.25574,38.054726,19.689528,53.439556,40.137405,6.423038,3153,3050,3257,3841,38.896687,30.348476,30.754839,51.99088,48.00912,72.42801,27.571993,31.751266,35.139267,30.76185,37.417923,4,1,Oski
EU F EG vs TL G1 2022-11-13.16.05,6,1,2,0,412,1,505.6538,42.39,2616,502,1786,830,332,521,18.227505,10.840502,47.024136,19.688473,13.278421,20.008976,63,0.11,71.26087,40.38621,30.979893,28.633898,47.69231,42.215126,10.092564,3024,2708,3444,3878,47.250324,19.574862,33.174812,65.21226,34.787746,76.544,23.456001,36.37125,34.792694,37.820946,34.40611,0,1,Oski
EU F TL vs EG G1 2022-11-13.16.05,6,1,2,0,412,1,505.49094,42.39,2616,502,1786,830,332,521,18.279604,10.814467,46.995136,19.69503,13.297669,20.012175,62,0.11,71.304344,40.26475,31.065392,28.669857,47.628468,42.228317,10.143217,3015,2688,3437,3883,47.31101,19.572567,33.11643,65.28021,34.719784,76.548645,23.451355,36.97143,35.55441,38.54948,35.039127,0,1,Oski
EU D TL vs VIT G5 2022-11-12.16.38,1,0,0,2,256,0,526.1674,44.78,2986,677,1916,1070,292,530,14.581498,8.957416,44.220898,20.13893,12.515131,23.125034,65,0.12,71.608696,37.90215,36.530647,25.567196,51.51059,40.547443,7.941961,2844,2650,3042,3712,40.460575,25.223612,34.31581,56.81754,43.182465,75.562935,24.437063,38.678413,25.521292,32.39354,31.659325,1,0,Oski
EU D TL vs VIT G4 2022-11-12.16.30,8,3,0,1,601,1,523.6499,45.41,3098,667,2156,942,265,503,15.164661,7.857002,40.197765,18.61564,14.671256,26.515339,76,0.11,75.0,33.832947,41.080425,25.086622,51.102478,44.319614,4.5779085,2780,2926,2605,3722,38.768867,27.728048,33.503082,55.05709,44.942905,76.435234,23.564774,29.29825,31.242077,36.98904,27.974195,1,0,Oski
EU D TL vs VIT G4 2022-11-12.16.29,8,3,0,1,601,1,524.7611,45.24,3103,667,2156,947,259,492,15.192085,7.8243465,40.150833,18.668198,14.684263,26.496708,76,0.11,74.91304,33.70102,41.115135,25.183842,51.02164,44.37966,4.598697,2801,2949,2627,3734,38.758305,27.654488,33.587204,55.058304,44.941696,76.57054,23.429459,28.664843,30.215055,36.105865,27.001888,1,0,Oski
EU D TL vs VIT G2 2022-11-12.16.14,4,1,1,0,348,0,449.86987,44.29,2420,368,1607,813,216,401,18.50601,7.4885364,40.003628,24.690685,14.968083,20.337597,66,0.12,71.86957,36.862118,41.907837,21.230045,55.82111,41.689297,2.489589,2742,2578,2843,3648,47.2871,21.205261,31.507635,63.39741,36.60259,70.88538,29.11461,37.953896,31.323584,35.351345,29.805428,1,1,Oski
EU D TL vs VIT G1 2022-11-12.16.07,1,0,1,1,212,0,442.90424,44.92,2375,349,1556,819,165,452,18.166843,7.133089,39.180183,23.673687,18.514156,18.63198,88,0.09,70.608696,39.115265,38.8513,22.033438,54.693565,40.885918,4.42051,2754,2507,2932,3419,50.370144,13.209951,36.419903,73.38289,26.617111,69.68051,30.319489,28.718842,37.04855,34.126934,28.781004,1,1,Oski
2022-11-12.15.39 Toxiic Private Loss,5,3,2,0,651,1,450.15817,45.03,2419,482,1864,555,265,365,16.54984,11.739345,42.328754,18.828424,14.203461,24.639359,70,0.1,75.521736,29.091515,44.768723,26.139763,46.537766,42.522663,10.939578,2845,2681,3066,3902,41.63444,25.287008,33.07855,58.135952,41.86405,74.55287,25.44713,33.930897,34.05496,35.760807,28.534208,0,1,Oski
2022-11-12.15.32 Toxiic Private Loss,2,2,1,1,548,1,498.86783,49.41,2754,1064,2054,700,281,313,20.046494,9.253388,40.742805,14.86788,20.645918,23.743395,58,0.1,75.521736,32.97383,39.930607,27.095562,47.160538,45.706104,7.133356,2724,2428,3041,3856,37.81697,30.790804,31.392221,51.149345,48.850662,59.135464,40.864536,24.907164,43.534702,34.90022,26.960117,3,0,Oski
2022-11-12.15.25 Toxiic Private Win,0,0,4,0,543,0,518.64734,48.94,2684,910,1822,862,427,667,16.640902,11.855073,43.704315,17.621525,15.732022,22.942133,70,0.11,74.21739,33.54196,36.671406,29.786629,49.871975,43.910225,6.217797,2424,2151,2678,3455,45.084404,27.249163,27.666435,60.113796,39.8862,62.87656,37.12344,25.088568,38.454105,37.9066,24.637682,1,0,Oski
2022-11-12.15.19 Toxiic Private Loss,5,1,0,1,336,0,563.0423,45.4,3050,1307,2380,670,338,556,18.992678,10.648576,43.42237,19.65843,11.675326,25.243868,80,0.12,72.695656,34.591625,38.26552,27.142857,52.47104,40.941494,6.5874662,2658,2524,2856,3704,36.064743,35.105434,28.829819,49.010986,50.98901,68.43481,31.565191,31.598057,41.474373,37.413082,33.597935,2,0,Oski
2022-11-12.15.12 Toxiic Private Loss,1,0,2,0,284,0,577.57825,50.09,3238,1112,2385,853,457,480,16.291584,12.9648905,36.540874,17.122469,16.776138,29.560518,65,0.1,73.26087,33.349915,42.317146,24.332945,46.977764,43.54886,9.473375,2907,2600,3173,3750,32.604816,37.075397,30.319786,47.840843,52.15916,76.69398,23.306026,36.566875,31.156168,32.07777,37.16146,1,2,Oski
TL vs AOG G0 2022-05-15.17.05 RLCS Referee Private Loss,1,1,0,0,196,1,405.35464,46.27,863,207,730,133,69,62,10.153437,4.8692656,27.723026,46.236195,9.634665,16.406118,8,0.2,67.695656,58.140602,28.434675,13.424721,51.788315,40.185337,8.026345,1946,1395,3169,4022,58.22164,20.88535,20.89301,72.267746,27.73225,43.27947,56.720535,73.97839,46.892124,44.308754,80.63254,0,0,Oski
EU AE TL vs BDS G3 2022-11-11.19.48,4,1,1,1,341,0,534.0687,44.22,2921,778,2085,836,124,527,13.289249,9.87628,45.86344,17.404264,15.594895,21.137405,70,0.1,74.95652,34.031906,37.326466,28.641623,57.034607,37.897762,5.067638,2811,2808,2815,3592,39.291954,27.889765,32.81828,55.889053,44.110943,73.95436,26.045645,25.140175,37.298878,32.697464,31.844221,2,1,Oski
EU AE TL vs BDS G2 2022-11-11.19.41,3,3,1,0,546,1,534.6359,43.3,3010,425,2275,735,333,681,16.32623,8.65601,42.742126,22.637108,15.075847,19.544926,97,0.12,70.82609,40.267925,39.738827,19.993244,53.12113,38.90296,7.9759097,2808,2640,2965,3820,47.275696,17.87403,34.850277,67.31678,32.683216,77.66302,22.336985,36.175255,30.787449,38.957966,30.521019,0,0,Oski
EU AE TL vs BDS G1 2022-11-11.19.33,2,0,1,0,202,0,546.3407,54.25,3307,634,2649,658,741,661,14.838372,11.589294,31.154377,22.27009,15.230599,31.344933,83,0.11,72.21739,35.359028,38.10395,26.537022,50.210316,42.417786,7.3719,2832,2617,3080,3794,41.31432,21.815254,36.87043,59.007977,40.992023,78.59991,21.400087,32.793655,27.396883,37.41946,26.818659,2,1,Oski
EU TL vs OXG G5 2022-11-11.20.12,3,0,2,0,359,0,546.31055,49.1,2843,841,2256,587,463,465,12.544837,8.8841915,36.86282,19.00273,15.536723,28.597727,72,0.1,73.21739,33.542015,44.08406,22.373928,52.290173,36.888134,10.821694,2934,2497,3453,3886,44.710102,20.69714,34.59276,64.798035,35.20196,63.527115,36.47288,30.553421,38.97643,34.268513,36.126057,0,0,Oski
EU TL vs OXG G4 2022-11-11.20.05,2,0,1,0,214,0,585.96747,47.89,3207,423,2382,825,426,563,12.281504,9.887935,33.47083,24.1033,17.736729,24.689144,86,0.1,74.608696,32.291607,41.29308,26.415318,49.977913,42.42585,7.596242,2734,2519,2963,3724,35.16833,25.295279,39.53639,55.469807,44.53019,75.81514,24.184855,33.406418,37.365246,37.334793,32.401485,1,1,Oski
EU TL vs OXG G3 2022-11-11.19.57,1,1,2,1,375,0,465.28137,38.9,2687,717,2029,658,191,346,23.94228,9.408369,54.16784,18.449545,8.287991,19.094633,81,0.11,69.21739,43.256943,39.161243,17.581818,51.293022,40.935226,7.7717524,2695,2461,2986,3450,41.700954,20.78644,37.512604,63.047035,36.95297,68.22356,31.77644,29.40837,35.959595,32.178932,33.131313,0,1,Oski
EU TL vs OXG G2 2022-11-11.19.49,1,0,1,0,209,0,510.87753,47.75,3135,784,2348,787,267,573,12.98786,9.592874,34.64483,21.941816,19.23771,24.175644,94,0.11,73.652176,32.412827,43.87422,23.712954,57.521168,35.30284,7.175988,2543,2257,2783,3696,38.873306,25.564964,35.561726,58.051292,41.948708,67.7328,32.2672,29.305521,33.814064,35.443657,28.029007,3,3,Oski
EU TL vs OXG G1 2022-11-11.19.38,4,2,1,0,409,1,532.2871,45.57,2951,947,2089,862,325,547,15.401033,9.340427,39.320786,22.051088,13.119595,25.508535,71,0.11,74.78261,32.992085,44.74638,22.261536,51.744446,41.562023,6.693542,2871,2813,2959,3883,36.10789,28.323668,35.568447,55.140514,44.859486,66.7237,33.2763,26.665462,39.14141,35.89466,29.310965,4,1,Oski
EU TL vs OXG G0 2022-11-11.19.30,1,1,1,0,212,1,706.04846,48.32,1000,370,845,155,65,154,14.497528,9.990585,40.943146,21.132658,15.722785,22.20141,15,0.1,79.652176,29.188438,41.751095,29.060465,39.731285,48.97633,11.292387,3157,3419,1808,4130,37.229393,35.704384,27.066227,48.544308,51.45569,63.623756,36.37624,24.711697,43.539654,33.41963,30.595432,1,0,Oski
EU U TL vs QUAD G3 2022-11-11.18.04,3,1,0,0,288,0,536.19995,53.12,2839,830,2075,764,371,537,15.490431,10.353186,32.363804,17.684307,19.130838,30.821043,77,0.1,72.78261,34.77289,40.13293,25.094185,55.202305,35.560047,9.237649,2833,2757,2957,3856,38.274937,25.067385,36.657684,55.79957,44.200436,77.49702,22.502987,36.262905,34.153866,34.594563,31.824478,0,0,Oski
EU U TL vs QUAD G2 2022-11-11.17.56,4,0,0,1,232,0,529.52325,46.7,3073,449,2326,747,375,484,13.055715,9.445721,38.204853,25.502392,14.150159,22.14259,75,0.11,72.91304,33.166447,45.023525,21.810022,49.852264,44.72532,5.4224114,3004,3229,2795,3827,37.211018,23.26612,39.52286,58.425213,41.574787,77.93828,22.06172,36.47329,28.661688,34.80758,32.739803,1,1,Oski
EU U TL vs QUAD G1 2022-11-11.17.48,8,3,4,0,848,1,508.86682,47.65,3716,664,2815,901,425,609,14.214311,12.141961,36.401825,23.31507,16.20548,24.077625,101,0.12,75.73913,30.003115,43.24841,26.748476,50.53799,38.99782,10.464186,2838,2651,3101,3847,38.834175,22.009293,39.156532,59.62385,40.37615,70.94393,29.056067,30.902657,35.741188,36.813877,29.624557,1,2,Oski
EU U TL vs QUAD G0 2022-11-11.17.38,0,0,0,0,22,0,425.45227,31.4,341,267,223,118,76,97,45.394054,6.50863,70.72251,6.973822,7.853403,14.450262,6,0.11,82.21739,24.927176,31.918436,43.154392,38.72243,57.948402,3.3291721,3321,2567,3822,3320,52.267998,22.679983,25.052017,66.063255,33.93675,25.889698,74.110306,33.063007,61.551258,40.96486,47.20316,1,0,Oski
EU P AOG vs TL G3 2022-11-11.17.06,6,1,1,0,408,0,568.3468,45.76,3223,1101,2317,906,424,443,10.530493,15.585599,37.39118,21.379112,15.736244,25.493462,80,0.12,77.652176,28.648376,40.843292,30.508333,52.701565,39.71273,7.585704,2920,2853,2972,3941,38.290417,27.52062,34.18897,54.785954,45.21405,71.46104,28.538967,33.651726,37.413666,37.85452,35.209404,1,0,Oski
EU P AOG vs TL G2 2022-11-11.16.58,6,2,2,0,487,0,482.12177,45.24,2654,241,1860,794,243,442,20.267038,11.641285,40.898857,18.490498,9.655048,30.955599,69,0.12,73.565216,35.012104,38.610733,26.377163,53.495308,42.407154,4.097538,2848,2817,2903,3791,39.36532,26.842804,33.79188,56.909225,43.090775,72.27667,27.723328,35.938114,36.361984,34.848164,34.93899,2,2,Oski
EU P AOG vs TL G1 2022-11-11.16.51,3,1,1,0,291,0,489.86026,45.68,2641,814,1724,917,318,454,20.029058,9.728577,39.878044,23.153233,12.471559,24.497164,73,0.11,71.82609,36.58959,39.07206,24.338356,53.969864,41.539608,4.4905267,2893,3005,2783,3923,37.46382,29.530062,33.00612,53.17619,46.823807,78.7773,21.222698,36.942005,32.42859,36.447384,36.01459,0,0,Oski
EU P AOG vs TL G0 2022-11-11.16.44,0,0,0,0,28,0,460.45142,47.99,391,154,237,154,164,104,12.404318,12.031404,41.931946,17.45335,12.843031,27.771683,9,0.11,87.608696,8.136792,49.371067,42.492138,41.25393,53.22327,5.5227985,3341,1937,4494,4609,25.000002,43.21934,31.780663,39.996067,60.00393,77.34329,22.656712,32.777233,33.169773,27.87046,32.38469,0,0,Oski
EU H TL vs G1 G4 2022-11-11.16.33,4,1,3,1,506,0,518.56854,48.89,3200,788,2399,801,461,665,15.01688,11.416611,35.913918,19.731003,16.478817,27.87626,79,0.12,71.391304,39.214863,35.580074,25.205063,52.125374,39.952305,7.922323,2726,2357,3074,3930,46.338905,22.351799,31.309292,64.66534,35.33466,74.17909,25.820908,29.60162,36.51587,37.05604,29.061445,0,2,Oski
EU H TL vs G1 G3 2022-11-11.16.24,5,2,3,0,543,0,559.1029,46.55,4022,590,3025,997,593,632,13.64858,10.270609,41.115417,18.546982,18.546982,21.790615,126,0.12,69.391304,41.004276,36.38569,22.610027,52.73156,39.896553,7.3718905,2963,2984,2936,3663,46.15508,17.375383,36.46954,68.1581,31.8419,72.28389,27.71611,35.401512,27.454706,30.53612,34.683285,3,4,Oski
EU H TL vs G1 G2 2022-11-11.16.14,7,4,0,0,743,1,533.56384,46.98,3035,423,2352,683,169,477,14.937443,9.487533,34.08146,22.799772,18.484762,24.634007,65,0.12,75.78261,31.059645,43.109837,25.830524,48.151012,44.85103,6.997955,2777,2701,2890,3772,32.47561,33.448494,34.075897,49.13769,50.862305,72.08833,27.91167,25.198511,39.643703,34.926308,32.55296,1,0,Oski
EU H TL vs G1 G1 2022-11-11.16.06,3,0,0,1,192,0,534.8665,50.63,3008,793,2321,687,405,351,21.506683,10.153216,34.2292,18.375858,15.90547,31.489471,76,0.1,76.478264,28.823849,41.083652,30.092499,44.34549,44.772186,10.882328,2997,2745,3314,3969,35.541237,25.589918,38.868843,57.241043,42.758957,66.54543,33.454567,30.435944,40.719555,32.451176,36.42237,1,0,Oski
EU AE KC vs TL G5 2022-10-28.20.07,4,0,1,0,263,0,519.9032,44.12,2758,802,2058,700,172,531,22.466932,9.258852,43.777195,18.365143,13.071231,24.786434,72,0.11,78.04348,24.053207,45.633804,30.312988,47.22231,43.626175,9.151513,2801,2686,2894,3886,36.353676,25.589985,38.05634,58.25978,41.74022,65.03912,34.960876,30.098337,41.283104,38.958183,30.78953,3,1,Oski
EU AE KC v TL G5 2022-10-28.20.07,4,0,1,0,263,0,520.99994,44.12,2758,802,2058,700,172,575,22.48599,9.256344,43.682156,18.34071,13.090956,24.886187,73,0.1,78.13043,23.995104,45.57093,30.433964,47.11789,43.688225,9.193888,2791,2689,2877,3894,36.149117,25.561693,38.289192,58.059555,41.940445,64.89378,35.106216,29.72105,40.897926,38.41068,30.350735,3,1,Oski
EU AE KC vs TL G4 2022-10-28.20.00,4,2,2,0,442,0,563.783,53.94,3227,762,2514,713,594,682,15.615992,11.236642,34.022,17.77338,17.77629,30.42833,85,0.1,75.478264,33.596542,41.686756,24.716705,53.896877,36.719032,9.384091,2917,2629,3228,3722,39.53508,24.102295,36.362633,60.298683,39.701317,75.50981,24.490192,33.718662,38.086365,30.486563,33.398365,1,1,Oski
EU AE KC v TL G4 2022-10-28.20.00,4,2,2,0,442,0,563.9636,54.09,3227,762,2514,713,605,679,15.574391,11.228591,34.04144,17.783146,17.786057,30.389362,87,0.1,75.478264,33.71248,41.474785,24.81274,53.96033,36.634766,9.404912,2942,2669,3238,3723,39.454044,24.121286,36.424667,60.2924,39.707592,75.48965,24.51035,32.5935,38.098568,29.972036,33.00128,1,1,Oski
EU AE KC vs TL G3 2022-10-28.19.52,0,0,2,0,215,0,468.66238,37.06,2591,875,1607,984,215,601,17.98559,7.120678,51.776928,20.438337,13.429578,14.355153,83,0.1,73.95652,36.405624,38.030773,25.563606,50.30165,42.196114,7.5022373,2708,2508,2899,3577,42.450134,22.333519,35.21635,59.498314,40.50169,54.43392,45.56608,23.182901,44.888607,34.42766,29.001236,0,0,Oski
EU AE KC v TL G3 2022-10-28.19.52,0,0,2,0,215,0,468.73303,37.06,2591,875,1607,984,215,594,17.961164,7.1247663,51.794712,20.436087,13.423191,14.346017,86,0.1,73.95652,36.229664,38.15991,25.610426,50.40453,42.10298,7.492487,2715,2503,2919,3586,42.35437,22.341656,35.303978,59.43306,40.566936,54.439854,45.560146,22.703976,44.262196,33.799675,28.523186,0,0,Oski
EU AE KC vs TL G2 2022-10-28.19.44,2,2,0,0,388,0,484.573,41.12,2772,564,2043,729,246,486,18.48906,8.216064,48.022163,22.528421,14.11471,15.334712,79,0.12,71.478264,37.769646,42.00632,20.224033,49.2306,39.58466,11.184739,2761,2757,2763,3785,45.720467,18.862118,35.41742,65.89126,34.108746,68.98741,31.012589,35.806892,35.282463,36.243916,30.94135,0,0,Oski
EU AE KC v TL G2 2022-10-28.19.44,2,2,0,0,388,0,484.59253,41.11,2773,566,2043,730,246,523,18.471487,8.207607,48.06638,22.508684,14.056444,15.368494,79,0.12,71.478264,37.821045,41.912132,20.26682,49.274715,39.50076,11.224518,2758,2753,2759,3780,45.71072,18.857302,35.43198,65.89838,34.101627,68.97795,31.02205,35.47504,34.8634,35.73717,30.727558,0,0,Oski
EU AE KC vs TL G1 2022-10-28.19.36,3,2,1,2,512,1,476.3963,42.56,2792,999,1658,1134,256,609,11.80753,4.8913665,43.6919,23.610521,17.371649,15.325931,72,0.1,71.304344,37.594276,42.63419,19.77154,53.680153,38.912743,7.407101,2798,2698,2899,3729,37.9951,29.858799,32.146103,53.307095,46.692905,77.09607,22.903936,27.840973,37.964962,35.17802,28.83631,0,3,Oski
EU AE KC v TL G1 2022-10-28.19.36,3,2,1,2,512,1,476.7432,42.75,2793,999,1658,1135,267,597,11.786293,4.9472275,43.6067,23.679075,17.355043,15.359171,72,0.1,71.434784,37.5665,42.52557,19.90793,53.615234,38.994404,7.390357,2789,2687,2896,3725,37.900047,29.892216,32.207733,53.244568,46.75543,77.04819,22.951813,27.083155,37.77986,36.78416,26.684874,0,3,Oski
EU AE KC vs TL G0 2022-10-28.19.26,1,1,0,0,156,0,466.31915,47.43,1163,131,1015,148,184,114,8.814488,8.146217,67.003235,6.854369,13.2621355,12.880259,9,0.15,74.95652,55.979015,22.702564,21.318417,57.384823,34.430893,8.184289,2286,2152,2722,3644,60.750854,18.15826,21.090885,70.97896,29.021046,66.03464,33.965363,57.53809,39.361134,24.525528,70.56937,0,0,Oski
EU AE KC v TL G0 2022-10-28.19.26,1,1,0,0,156,0,465.94553,47.43,1163,131,1015,148,184,114,8.867521,8.353366,67.00537,6.8021483,13.526631,12.665846,9,0.15,75.13043,55.97524,22.751389,21.273369,57.74648,34.099667,8.153855,2318,2166,2731,3663,60.74654,18.145645,21.107811,70.997284,29.002716,66.03297,33.96703,56.490387,38.928955,23.904915,69.577995,0,0,Oski
EU AD TL vs GO G4 2022-10-28.19.07,5,0,2,3,485,0,490.4532,40.26,2924,839,2096,828,353,493,13.96103,9.502111,44.28752,23.786749,15.78281,16.142918,70,0.1,70.652176,43.097313,30.656933,26.245749,47.94856,42.10124,9.950195,2771,2683,2942,3651,42.71786,24.353739,32.928406,59.59841,40.401596,73.283264,26.716732,27.759918,39.10989,36.9014,31.56188,1,3,Oski
EU AD TL vs GO G3 2022-10-28.18.58,2,0,0,0,128,0,494.08878,42.35,2619,772,1634,985,271,579,12.476418,5.8546095,43.04733,22.84859,17.32913,16.774956,63,0.12,75.21739,29.865309,44.927357,25.20733,55.11178,37.53313,7.355097,2984,3067,2928,3650,40.167744,22.626509,37.205753,59.850964,40.149033,60.806263,39.19374,34.775497,35.561565,27.889572,38.1713,2,2,Oski
EU AD TL vs GO G2 2022-10-28.18.51,1,0,1,2,268,0,561.51654,47.24,3283,990,2407,876,398,635,21.13455,8.486318,44.212673,15.828705,17.064392,22.89423,71,0.11,74.86957,33.001835,41.450916,25.547245,48.84938,44.561943,6.5886803,2778,2677,2889,3850,36.516804,30.966274,32.51692,50.897236,49.102764,65.39821,34.60179,28.534779,40.193844,31.556444,33.295326,2,2,Oski
EU AD TL vs GO G1 2022-10-28.18.43,4,1,0,1,314,0,481.09244,39.55,2748,885,1663,1085,136,507,16.584967,8.237044,50.55242,21.913708,14.156539,13.377333,75,0.11,75.434784,32.16677,41.17515,26.658073,53.306435,39.032726,7.660838,3027,3266,2741,3910,39.528694,31.705336,28.765972,52.818874,47.181126,69.37066,30.629343,31.395891,35.62675,28.59477,34.37208,0,2,Oski
EU AD TL vs GO G0 2022-10-28.18.35,2,2,0,0,242,1,526.7857,36.1,236,24,200,36,0,0,14.0625,18.229168,54.20599,18.342222,11.817808,15.633976,2,0.12,73.521736,36.245014,43.711487,20.043493,31.617113,50.253807,18.12908,3715,3226,4529,4224,29.69543,27.846268,42.458305,45.576504,54.423496,100.0,0.0,35.71429,10.788691,35.71429,27.901787,0,0,Oski
EU V TL vs EG G4 2022-10-28.18.24,8,0,3,1,485,0,542.5666,47.53,4304,1192,3363,941,474,680,19.465921,11.893857,35.7652,18.609211,18.267525,27.358051,91,0.12,70.391304,38.444553,41.861664,19.69378,49.06731,39.608353,11.324337,2901,2528,3275,3803,37.161076,29.881144,32.957783,53.882504,46.117496,71.14647,28.853535,30.296663,36.788807,35.84335,33.280106,2,1,Oski
EU V TL vs EG G3 2022-10-28.18.14,4,0,1,0,277,0,565.65234,43.8,3129,960,2160,969,291,683,13.895752,8.659235,46.075478,19.445429,14.652728,19.826363,62,0.1,76.304344,30.413647,41.18709,28.399267,52.053673,42.432972,5.513346,2982,2877,3123,3902,31.991385,31.880768,36.12785,48.417896,51.582104,71.64731,28.352692,27.9301,39.409462,33.98614,32.178368,0,0,Oski
EU V TL vs EG G2 2022-10-28.18.07,3,1,1,1,355,1,478.55853,44.49,2563,523,1819,744,206,458,13.07338,7.3100142,40.367672,24.865292,17.546751,17.220285,74,0.11,71.608696,39.53582,36.464924,23.999258,60.54752,33.96809,5.484399,3028,3070,2992,3595,47.72692,16.666151,35.606926,65.52469,34.475307,73.06173,26.938272,35.196365,30.217216,27.198606,39.64648,0,3,Oski
EU V TL vs EG G1 2022-10-28.18.00,5,0,4,1,504,0,468.67834,47.48,2555,897,1749,806,269,433,15.206824,8.694855,39.322838,17.124315,18.15478,25.398064,75,0.12,69.13043,41.870354,38.354588,19.775063,51.21469,43.492638,5.2926764,2647,2501,2789,3489,40.854877,25.779312,33.365803,56.565117,43.43488,59.28976,40.710236,20.60595,43.718853,35.617107,29.533155,2,0,Oski
EU I TL vs QUAD G4 2022-10-28.17.22,3,0,0,1,232,0,537.40955,44.69,3006,628,2197,809,310,606,15.485236,10.807187,42.209175,18.645403,15.952568,23.19285,79,0.11,73.304344,34.622852,40.058815,25.318336,53.81716,39.031006,7.1518297,2585,2228,2977,3482,34.061386,28.165596,37.773018,51.89288,48.10712,63.324387,36.675613,27.35318,35.368435,33.01451,30.511606,1,0,Oski
EU I TL v QUAD G4 2022-10-28.17.22,3,0,0,1,232,0,538.434,44.64,3012,628,2203,809,303,612,15.474913,10.737695,42.195805,18.786144,15.920906,23.097143,82,0.11,73.391304,34.633297,39.898857,25.467844,53.774284,39.074284,7.1514287,2581,2204,2996,3481,33.982857,28.16,37.857143,51.86,48.14,63.385715,36.614285,26.844236,34.828983,32.505062,30.121557,1,0,Oski
